,지점,관할기관,3시간전 수위(m),수위 (m),유량,해발수위 (El.m),대권역,운영 여부,관측 방법,관측소 코드,표준유역 코드,관할 기관
217,춘천시(춘천댐하류),기후에너지환경부,0.34,0.32,-,72.13,한강,운영,T/M,1010695.0,101012,기후에너지환경부
218,춘천시(충의대교),기후에너지환경부,5.35,5.33,-,50.36,한강,운영,T/M,1014690.0,101414,기후에너지환경부
219,춘천시(팔미3교),기후에너지환경부,2.51,2.51,-,79.08,한강,운영,T/M,1013643.0,101303,기후에너지환경부
220,춘천시(효자교),기후에너지환경부,3.83,3.83,0.46,71.61,한강,운영,T/M,1013610.0,101301,기후에너지환경부
221,충주시(국원대교),기후에너지환경부,0.58,0.58,0.68,64.4,한강,운영,T/M,1004695.0,100413,기후에너지환경부
222,충주시(능암교),기후에너지환경부,2.82,2.81,-,68.48,한강,운영,T/M,1005650.0,100503,기후에너지환경부
223,충주시(목계교),기후에너지환경부,0.63,0.63,165.42,52.97,한강,운영,T/M,1005640.0,100502,기후에너지환경부
224,충주시(문강교),기후에너지환경부,1.1,1.1,-,99.83,한강,운영,T/M,1004680.0,100412,기후에너지환경부
225,충주시(봉계교),기후에너지환경부,2.13,2.11,-,72.54,한강,운영,T/M,1004696.0,100414,기후에너지환경부
226,충주시(세포교),기후에너지환경부,2.3,2.29,-,61.68,한강,운영,T/M,1005660.0,100504,기후에너지환경부
227,충주시(주덕교),기후에너지환경부,2.78,2.77,-,79.34,한강,운영,T/M,1004694.0,100413,기후에너지환경부
228,충주시(탄금교),기후에너지환경부,0.7,0.7,-,64.28,한강,운영,T/M,1005605.0,100414,기후에너지환경부
229,파주시(교하교),기후에너지환경부,1.87,1.89,-,2.81,한강,운영,T/M,1019680.0,101906,기후에너지환경부
230,파주시(덕천교),기후에너지환경부,2.21,2.2,-,16.35,한강,운영,T/M,1023635.0,102303,기후에너지환경부
231,파주시(만장교),기후에너지환경부,2.42,2.41,0.03,22.83,한강,운영,T/M,1023674.0,102305,기후에너지환경부
232,파주시(비룡대교),기후에너지환경부,2.07,2.07,29.31,7.5,한강,운영,T/M,1023660.0,102301,기후에너지환경부
233,파주시(신우교),기후에너지환경부,2.12,2.13,-,58.66,한강,운영,T/M,1023671.0,102305,기후에너지환경부
234,파주시(아가메교),기후에너지환경부,0.9,0.81,-,2.88,한강,운영,T/M,1023680.0,102306,기후에너지환경부
235,파주시(전진교),기후에너지환경부,6.12,6.5,-,2.37,한강,운영,T/M,1023667.0,102304,기후에너지환경부
236,파주시(주월교),기후에너지환경부,1.4,1.39,-,9.23,한강,운영,T/M,1023677.0,102306,기후에너지환경부
237,파주시(통일대교),기후에너지환경부,2.22,1.65,-,1.95,한강,운영,T/M,1023670.0,102304,기후에너지환경부
238,평창군(마하교),기후에너지환경부,2.66,2.66,-,221.43,한강,운영,T/M,1001665.0,100115,기후에너지환경부
239,평창군(바이오교),기후에너지환경부,2.35,2.35,-,465.79,한강,운영,T/M,1002626.0,100203,기후에너지환경부
240,평창군(사초교),기후에너지환경부,2.01,2.0,1.03,376.62,한강,운영,T/M,1002635.0,100203,기후에너지환경부
241,평창군(상방림교),기후에너지환경부,0.61,0.61,18.54,359.83,한강,운영,T/M,1002640.0,100205,기후에너지환경부
242,평창군(선애교),기후에너지환경부,1.09,1.08,9.05,385.97,한강,운영,T/M,1002625.0,100202,기후에너지환경부
243,평창군(송정교),기후에너지환경부,1.63,1.62,-,513.21,한강,운영,T/M,1001602.0,100108,기후에너지환경부
244,평창군(이목정교),기후에너지환경부,1.7,1.7,2.55,592.57,한강,운영,T/M,1002605.0,100201,기후에너지환경부
245,평창군(장평교),기후에너지환경부,-0.14,-0.14,3.9,526.82,한강,운영,T/M,1002610.0,100201,기후에너지환경부
246,평창군(진전교),기후에너지환경부,0.41,0.41,4.55,522.05,한강,운영,T/M,1002615.0,100201,기후에너지환경부
247,평창군(평창교),기후에너지환경부,1.16,1.16,15.36,288.63,한강,운영,T/M,1002650.0,100206,기후에너지환경부
248,평창군(하방림교),기후에너지환경부,1.67,1.68,-,368.66,한강,운영,T/M,1002636.0,100204,기후에너지환경부
249,평택시(군문교),기후에너지환경부,2.3,2.31,2.97,2.44,안성천,운영,T/M,1101635.0,110107,기후에너지환경부
250,평택시(동연교),기후에너지환경부,2.54,2.53,13.38,2.25,안성천,운영,T/M,1101670.0,110115,기후에너지환경부
251,평택시(진위1교),기후에너지환경부,1.06,1.06,1.84,6.39,안성천,운영,T/M,1101663.0,110114,기후에너지환경부
252,평택시(팽성대교),기후에너지환경부,1.94,1.95,23.83,2.25,안성천,운영,T/M,1101680.0,110116,기후에너지환경부
253,평택시(회화리),기후에너지환경부,0.36,0.36,9.46,5.34,안성천,운영,T/M,1101665.0,110114,기후에너지환경부
254,포천시(가산교),기후에너지환경부,0.4,0.4,-,103.58,한강,운영,T/M,1022651.0,102208,기후에너지환경부
255,포천시(낭유대교),기후에너지환경부,3.92,3.92,-,104.93,한강,운영,T/M,1022646.0,102206,기후에너지환경부
256,포천시(마명1교),기후에너지환경부,2.27,2.27,-,90.17,한강,운영,T/M,1018619.0,101802,기후에너지환경부
257,포천시(신백의교),기후에너지환경부,0.84,0.84,24.87,45.39,한강,운영,T/M,1022655.0,102210,기후에너지환경부
258,포천시(영평교),기후에너지환경부,0.69,0.69,3.56,57.04,한강,운영,T/M,1022650.0,102210,기후에너지환경부
259,포천시(용담교),기후에너지환경부,0.94,0.93,-,93.06,한강,운영,T/M,1022640.0,102204,기후에너지환경부
260,포천시(은현교),기후에너지환경부,0.67,0.67,3.49,61.99,한강,운영,T/M,1022648.0,102209,기후에너지환경부
261,포천시(제1도평교),기후에너지환경부,2.13,2.13,-,159.54,한강,운영,T/M,1022641.0,102206,기후에너지환경부
262,포천시(지현교),기후에너지환경부,0.11,0.11,-,100.3,한강,운영,T/M,1022649.0,102209,기후에너지환경부
263,포천시(포천대교),기후에너지환경부,2.81,2.9,11.88,89.97,한강,운영,T/M,1022647.0,102208,기후에너지환경부
264,홍천군(가덕교),기후에너지환경부,2.38,2.38,-,504.07,한강,운영,T/M,1012625.0,101201,기후에너지환경부
265,홍천군(군업1교),기후에너지환경부,2.42,2.42,-,162.4,한강,운영,T/M,1014637.0,101405,기후에너지환경부
266,홍천군(굴운교),기후에너지환경부,0.67,0.66,13.02,132.34,한강,운영,T/M,1014640.0,101406,기후에너지환경부
267,홍천군(귀미뜰교),기후에너지환경부,2.51,2.51,-,149.43,한강,운영,T/M,1014645.0,101407,기후에너지환경부
268,홍천군(남노일대교),기후에너지환경부,1.95,1.91,10.88,91.19,한강,운영,T/M,1014665.0,101410,기후에너지환경부
269,홍천군(모곡교),기후에너지환경부,2.67,2.66,1.17,58.94,한강,운영,T/M,1014696.0,101413,기후에너지환경부
270,홍천군(반곡교),기후에너지환경부,1.44,1.43,13.53,69.72,한강,운영,T/M,1014680.0,101412,기후에너지환경부
271,홍천군(용선교),기후에너지환경부,1.22,1.22,7.7,185.96,한강,운영,T/M,1014620.0,101402,기후에너지환경부
272,홍천군(용수교),기후에너지환경부,2.89,2.88,-,100.59,한강,운영,T/M,1014664.0,101411,기후에너지환경부
273,홍천군(용호대교),기후에너지환경부,3.65,3.65,-,243.73,한강,운영,T/M,1014618.0,101402,기후에너지환경부
274,홍천군(주음치교),기후에너지환경부,0.68,0.67,8.07,152.82,한강,운영,T/M,1014630.0,101404,기후에너지환경부
275,홍천군(지다치교),기후에너지환경부,3.42,3.41,-,169.26,한강,운영,T/M,1014622.0,101403,기후에너지환경부
276,홍천군(홍천교),기후에너지환경부,1.16,1.16,129.58,120.89,한강,운영,T/M,1014650.0,101408,기후에너지환경부
277,홍천군(화계교),기후에너지환경부,3.2,3.21,-,122.91,한강,운영,T/M,1014652.0,101409,기후에너지환경부
278,화성시(발안천2교),기후에너지환경부,2.05,2.05,-,3.65,한강서해,운영,T/M,1202668.0,120206,기후에너지환경부
279,화성시(수직교),기후에너지환경부,0.74,0.75,4.68,5.08,안성천,운영,T/M,1101650.0,110113,기후에너지환경부
280,화성시(화산교),기후에너지환경부,1.49,1.49,2.93,13.72,안성천,운영,T/M,1101605.0,110113,기후에너지환경부
281,화천군(신대교),기후에너지환경부,2.51,2.51,-,130.79,한강,운영,T/M,1010673.0,101008,기후에너지환경부
282,화천군(신읍교),기후에너지환경부,2.98,2.97,-,111.26,한강,운영,T/M,1010674.0,101008,기후에너지환경부
283,화천군(일광교),기후에너지환경부,2.13,2.12,-,259.9,한강,운영,T/M,1010686.0,101010,기후에너지환경부
284,화천군(화천댐),기후에너지환경부,169.84,169.85,-,170.12,한강,운영,T/M,1010660.0,101006,기후에너지환경부
285,횡성군(둔방내리),기후에너지환경부,2.3,2.3,-,484.65,한강,운영,T/M,1002670.0,100207,기후에너지환경부
286,횡성군(안흥교),기후에너지환경부,1.17,1.16,3.88,415.46,한강,운영,T/M,1002675.0,100208,기후에너지환경부
287,횡성군(오산교),기후에너지환경부,1.89,1.89,1.52,120.28,한강,운영,T/M,1006630.0,100603,기후에너지환경부
288,횡성군(전천교),기후에너지환경부,0.94,0.94,0.02,108.82,한강,운영,T/M,1006660.0,100604,기후에너지환경부
289,횡성군(청곡교),기후에너지환경부,3.48,3.47,-,149.16,한강,운영,T/M,1006628.0,100603,기후에너지환경부
290,횡성군(횡성교),기후에너지환경부,1.07,1.07,8.19,107.12,한강,운영,T/M,1006650.0,100605,기후에너지환경부
