,korObs,korInst,sphereLarge,inOperation,methodObs,codeObs,codeWatershed,korStream_x,1차,2차,3차,4차,5차,6차,7차,8차,dateNotice,aFLAdvisory(m),aFLAdvisory(El.m),aFLAlert(m),aFLAlert(El.m),designFloodLevel(m),designFloodLevel(El.m),designFloodCharge(m3/sec),(El.m),heightEmbarkmentLeft(m),heightEmbarkmentLeft(El.m),heightEmbarkmentRight(m),heightEmbarkmentRight(El.m),widthRiver(m)
251,평택시(진위1교),기후에너지환경부,안성천,운영,T/M,1101663.0,110114,동연교수위표,363.0,102.0,31.0,7.0,2.0,2.0,1.0,-,24.04.23,4.6,9.93,5.8,11.13,7.04,12.37,"1,205",5.33,10.48,15.81,10.48,15.81,-
252,평택시(팽성대교),기후에너지환경부,안성천,운영,T/M,1101680.0,110116,아산방조제상류,119.0,37.0,8.0,2.0,-,-,2.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
253,평택시(회화리),기후에너지환경부,안성천,운영,T/M,1101665.0,110114,동연교수위표,363.0,102.0,31.0,7.0,2.0,2.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
254,포천시(가산교),기후에너지환경부,한강,운영,T/M,1022651.0,102208,포천천,310.0,80.0,21.0,3.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
255,포천시(낭유대교),기후에너지환경부,한강,운영,T/M,1022646.0,102206,영평천,327.0,81.0,20.0,4.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
256,포천시(마명1교),기후에너지환경부,한강,운영,T/M,1018619.0,101802,퇴계원수위표,480.0,130.0,33.0,8.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
257,포천시(신백의교),기후에너지환경부,한강,운영,T/M,1022655.0,102210,영평천,304.0,77.0,16.0,5.0,3.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
258,포천시(영평교),기후에너지환경부,한강,운영,T/M,1022650.0,102210,영평천,304.0,77.0,16.0,5.0,3.0,1.0,-,-,19.04.18,5.5,61.85,6.2,62.55,7.09,63.44,"3,440",56.35,9.19,65.54,9.32,65.67,191
259,포천시(용담교),기후에너지환경부,한강,운영,T/M,1022640.0,102204,부소천,212.0,52.0,15.0,4.0,1.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260,포천시(은현교),기후에너지환경부,한강,운영,T/M,1022648.0,102209,포천천,212.0,55.0,11.0,1.0,1.0,-,-,-,24.04.23,4.5,65.82,5.5,66.82,6.36,67.68,"2,030",61.32,9.13,70.45,9.13,70.45,-
261,포천시(제1도평교),기후에너지환경부,한강,운영,T/M,1022641.0,102206,영평천,327.0,81.0,20.0,4.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
262,포천시(지현교),기후에너지환경부,한강,운영,T/M,1022649.0,102209,포천천,212.0,55.0,11.0,1.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
263,포천시(포천대교),기후에너지환경부,한강,운영,T/M,1022647.0,102208,포천천,310.0,80.0,21.0,3.0,1.0,-,-,-,24.04.23,6.1,93.17,7.4,94.47,8.69,95.76,"1,250",87.07,9.74,96.81,9.67,96.74,-
264,홍천군(가덕교),기후에너지환경부,한강,운영,T/M,1012625.0,101201,내린천,386.0,90.0,25.0,5.0,2.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
265,홍천군(군업1교),기후에너지환경부,한강,운영,T/M,1014637.0,101405,군업천,73.0,13.0,2.0,1.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
266,홍천군(굴운교),기후에너지환경부,한강,운영,T/M,1014640.0,101406,덕치천,28.0,8.0,1.0,-,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
267,홍천군(귀미뜰교),기후에너지환경부,한강,운영,T/M,1014645.0,101407,덕치천,82.0,18.0,6.0,2.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
268,홍천군(남노일대교),기후에너지환경부,한강,운영,T/M,1014665.0,101410,양덕원천,81.0,20.0,3.0,2.0,-,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
269,홍천군(모곡교),기후에너지환경부,한강,운영,T/M,1014696.0,101413,중방대천,108.0,27.0,9.0,2.0,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
270,홍천군(반곡교),기후에너지환경부,한강,운영,T/M,1014680.0,101412,서면수위표,251.0,54.0,8.0,3.0,1.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
271,홍천군(용선교),기후에너지환경부,한강,운영,T/M,1014620.0,101402,내촌천,133.0,32.0,6.0,-,1.0,-,-,-,24.04.23,3.5,188.24,4.6,189.34,5.5,190.24,"1,935",184.74,7.14,191.88,7.15,191.89,-
272,홍천군(용수교),기후에너지환경부,한강,운영,T/M,1014664.0,101411,양덕원천,153.0,33.0,7.0,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
273,홍천군(용호대교),기후에너지환경부,한강,운영,T/M,1014618.0,101402,내촌천,133.0,32.0,6.0,-,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
274,홍천군(주음치교),기후에너지환경부,한강,운영,T/M,1014630.0,101404,화촌수위표,43.0,12.0,1.0,1.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
275,홍천군(지다치교),기후에너지환경부,한강,운영,T/M,1014622.0,101403,홍천강,118.0,25.0,3.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
276,홍천군(홍천교),기후에너지환경부,한강,운영,T/M,1014650.0,101408,홍천,80.0,23.0,4.0,1.0,2.0,1.0,-,-,17.05.02,5.3,125.03,6.4,126.13,7.35,127.08,"4,315",119.73,10.93,130.66,10.93,130.66,151
277,홍천군(화계교),기후에너지환경부,한강,운영,T/M,1014652.0,101409,성동천,69.0,15.0,3.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
278,화성시(발안천2교),기후에너지환경부,한강서해,운영,T/M,1202668.0,120206,남양방조제,781.0,308.0,89.0,34.0,10.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
279,화성시(수직교),기후에너지환경부,안성천,운영,T/M,1101650.0,110113,황구지천,341.0,93.0,27.0,7.0,1.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
280,화성시(화산교),기후에너지환경부,안성천,운영,T/M,1101605.0,110113,황구지천,341.0,93.0,27.0,7.0,1.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
281,화천군(신대교),기후에너지환경부,한강,운영,T/M,1010673.0,101008,화천천,205.0,43.0,9.0,2.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
282,화천군(신읍교),기후에너지환경부,한강,운영,T/M,1010674.0,101008,화천천,205.0,43.0,9.0,2.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
283,화천군(일광교),기후에너지환경부,한강,운영,T/M,1010686.0,101010,지촌천,142.0,36.0,9.0,2.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
284,화천군(화천댐),기후에너지환경부,한강,운영,T/M,1010660.0,101006,화천댐,113.0,30.0,11.0,1.0,1.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
285,횡성군(둔방내리),기후에너지환경부,한강,운영,T/M,1002670.0,100207,주천강,263.0,62.0,15.0,6.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
286,횡성군(안흥교),기후에너지환경부,한강,운영,T/M,1002675.0,100208,주천강,406.0,88.0,15.0,5.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
287,횡성군(오산교),기후에너지환경부,한강,운영,T/M,1006630.0,100603,금계천,161.0,35.0,10.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
288,횡성군(전천교),기후에너지환경부,한강,운영,T/M,1006660.0,100604,전천,446.0,109.0,23.0,5.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
289,횡성군(청곡교),기후에너지환경부,한강,운영,T/M,1006628.0,100603,금계천,161.0,35.0,10.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
290,횡성군(횡성교),기후에너지환경부,한강,운영,T/M,1006650.0,100605,원주천,426.0,105.0,20.0,7.0,3.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
