obscd,gdt
2003670,58.82
2003674,56.988
2003690,51.321
2004602,279.576
2004603,226.436
2004604,190.702
2004605,184.12
2004608,164.07
2004610,0.0
2004615,168.979
2004624,148.766
2004625,134.48
2004628,162.454
2004629,140.314
2004630,0.0
2004632,118.89
2004635,115.6
2004640,100.856
2004646,96.771
2004650,85.712
2004655,75.159
2004660,101.149
2004663,107.592
2004668,79.006
2004675,58.441
2004680,52.804
2004685,0.0
2004689,95.639
2004690,0.0
2004695,67.026
2005610,135.222
2005640,126.77
2005643,103.722
2005650,87.077
2005660,60.9
2005670,124.046
2005675,85.801
2005680,62.96
2006623,55.378
2006625,39.309
2006630,56.469
2006650,71.655
2006660,52.229
2006665,52.328
2006675,45.857
2007620,46.407
2007640,46.677
2007645,0.0
2007660,40.592
2007680,0.0
2007682,0.0
2007686,35.051
2008603,0.0
2008605,204.074
2008610,203.169
2008620,143.142
2008621,143.14
2008625,48.201
2008628,55.013
2008630,102.297
2008631,59.994
2008632,44.806
2008633,45.252
2008635,85.035
2008645,93.489
2008650,79.679
2008653,72.816
2008659,54.909
2008660,30.279
2008665,48.292
2008670,101.661
2008688,64.486
2008690,38.897
2009618,0.0
2009620,27.145
2009670,30.788
2009680,0.0
2009682,0.0
2010620,197.2
2010623,139.04
2010625,162.0
2010630,125.14
2010635,106.537
2010640,61.59
2010645,54.028
2010650,58.909
2010654,60.189
2010660,47.967
2010690,31.425
2011620,44.641
2011625,27.78
2011631,33.494
2011640,23.826
2011648,0.0
2011649,0.0
2011650,11.532
2011660,15.272
2011665,18.445
2011670,28.995
2011672,28.934
2011696,0.0
2012602,234.445
2012603,210.314
2012605,181.91
2012607,239.663
2012609,68.274
2012610,0.0
2012612,150.45
2012617,95.324
2012622,82.184
2012625,77.901
2012628,67.448
2012632,66.987
2012634,59.815
2012638,48.072
2012640,51.375
2012643,47.39
2012644,48.417
2012645,190.553
2012646,51.399
2012648,38.112
2012650,39.209
2012652,35.209
2012653,32.868
2012660,24.349
2012661,34.105
2012662,24.886
2012663,28.636
2012664,36.694
2012665,23.774
2012666,17.279
2012667,39.921
2012670,21.109
2012672,30.022
2012674,17.957
2012675,124.6
2012680,0.0
2012681,0.0
2012685,19.523
2012690,24.614
2012695,12.729
2012696,13.023
2013612,0.0
2013615,112.487
2013620,108.971
2013629,42.349
2013630,101.155
2013634,68.667
2013640,39.345
2013650,22.632
2013685,12.791
2013690,10.724
2014617,11.758
2014620,10.634
2014625,0.0
2014640,10.602
2014650,0.0
2014651,0.0
2014660,1.196
2014666,0.0
2014669,14.131
2014670,0.0
2014680,4.583
2014690,4.153
2014697,0.0
2014699,0.0
2015620,195.315
2015623,298.92
2015630,176.823
2015635,193.156
2015637,163.254
2015645,179.969
2015653,267.761
2015655,226.43
2015690,93.106
2016650,29.75
2016660,15.597
2016680,8.291
2017620,-4.52
2017630,6.757
2017640,3.565
2017670,-5.181
2017685,20.887
2018606,277.32
2018608,186.173
2018609,187.935
2018620,153.36
2018623,128.13
2018626,312.92
2018630,244.0
2018635,122.121
2018640,106.687
2018645,85.446
2018650,49.3
2018655,81.036
2018662,56.513
2018665,46.574
2018670,43.885
2018671,133.563
2018673,101.01
2018674,39.562
2018675,0.0
2018680,81.0
2018685,51.862
2018688,41.124
2018690,28.5
2018692,-1.4
2018695,26.5
2019610,33.209
2019615,18.3
2019620,-0.099
2019625,17.66
2019630,1.934
2019635,12.11
2019640,10.727
2019647,4.711
2019650,30.894
2019652,10.469
2019653,10.264
2019655,3.474
2019660,15.996
2019665,5.362
2019680,1.054
2019685,20.46
2019695,3.086
2020603,19.757
2020605,8.789
2020615,-21.356
2020640,-0.168
2020646,0.0
2020647,0.0
2020650,-4.011
2020651,1.766
2020660,3.77
2020671,-0.317
2020675,-0.518
2020680,-0.608
2021610,191.412
2021612,169.29
2021625,101.34
2021630,74.34
2021640,50.856
2021643,61.615
2021650,222.21
2021653,91.743
2021660,160.0
2021664,28.101
2021665,25.747
2021668,54.211
2021670,32.128
2021675,6.237
2021677,5.365
2021680,3.02
2021685,0.046
2021690,-0.88
2022610,-14.721
2022620,-2.637
2022640,-0.807
2022651,30.719
2022655,7.247
2022660,4.258
2022662,20.661
2022670,-0.985
2022678,-3.843
2022680,-11.979
2022681,5.688
2022682,-2.999
2022683,-1.666
2022684,1.773
2022685,-2.077
2022686,0.325
2022688,-2.912
2022690,-6.458
2022692,3.459
2022693,-2.134
2022696,0.0
2022697,0.0
2101601,90.639
2101603,57.957
2101610,39.53
2101620,33.942
2101624,31.058
2101625,25.51
2101630,49.421
2101633,0.0
2101640,31.387
2101650,9.057
2101660,68.944
2101663,11.821
2101668,19.313
2101675,-1.846
2101680,-6.96
2101687,-0.123
2101690,-3.915
2201607,96.719
2201608,78.493
2201611,43.017
2201614,54.08
2201617,57.44
2201630,14.764
2201640,3.543
2201650,1.592
2201653,0.923
2201660,-0.223
2201670,-4.815
2201677,39.327
2201685,16.626
2201690,2.437
2301625,49.419
2301630,33.723
2301645,-1.03
2301650,5.522
2301670,-1.456
2301680,1.044
2302635,0.0
2302640,-1.398
2302647,4.197
2302650,-2.406
2302651,35.701
2302655,-1.34
2302660,20.314
2302661,-3.415
2302670,-1.782
2302690,-1.426
2302695,-0.345
2401611,57.768
2401613,49.837
2401616,2.392
2401618,10.221
2401620,7.96
2401633,291.597
2401640,6.418
2401641,1.769
2401650,-1.975
2401660,19.551
2401690,6.44
2401692,7.896
2402609,50.145
2402620,55.84
2402625,25.778
2402630,3.22
2402675,0.0
2402680,9.466
2403610,100.0
2403617,51.474
2403618,47.341
2403620,27.752
2403625,4.743
2403660,-0.239
2501620,26.5
2501630,3.386
2502610,1.646
2502630,8.631
2502660,10.408
2503623,4.96
2503635,8.301
2503640,0.0
2504655,18.532
2504660,4.448
2504662,20.249
2504665,31.374
2504695,-1.372
3001605,342.567
3001610,345.488
3001615,273.5
3001616,310.606
3001620,273.5
3001630,265.46
3001633,334.916
3001640,291.5
3001654,297.49
3001660,266.481
3001675,370.251
3001680,270.861
3001690,222.0
3001695,204.3
3002630,0.0
3002650,197.476
3002655,183.952
3003617,304.861
3003620,289.594
3003660,205.966
3003675,213.794
3003680,184.652
3003692,186.79
3003694,170.284
3004610,147.23
3004620,146.13
3004637,142.746
3004640,126.08
3004645,167.275
3004650,113.96
3004670,127.504
3004680,118.682
3004685,97.36
3004690,96.008
3005620,0.0
3005670,155.003
3005675,171.937
3005680,120.8
3005681,118.941
3005690,96.19
3006640,75.95
3006650,88.274
3006675,83.499
3006680,88.09
3006690,79.506
3007606,197.2
3007610,160.142
3007612,273.5
3007617,158.106
3007620,149.294
3007622,273.5
3007624,150.821
3007627,158.728
3007633,182.111
3007640,135.201
3007642,273.5
3007644,137.296
3007645,127.725
3007650,125.851
3007655,113.89
3007660,92.792
3007662,106.398
3007670,92.02
3008605,160.276
3008630,79.893
3008670,126.512
3008680,33.0
3008685,27.0
3008690,60.0
3008693,99.741
3008695,22.26
3009608,125.177
3009614,154.118
3009615,113.442
3009617,112.585
3009620,96.419
3009630,51.993
3009635,72.492
3009640,47.679
3009645,48.629
3009650,72.409
3009655,91.983
3009659,68.608
3009665,47.883
3009669,45.216
3009670,39.345
3009671,39.334
3009672,46.66
3009673,33.438
3009675,34.065
3009680,31.191
3009687,33.686
3009693,21.952
3009698,20.538
3010605,33.621
3010620,18.141
3010655,24.205
3010660,13.821
3011613,102.101
3011615,56.672
3011616,140.186
3011617,65.256
3011618,78.535
3011620,52.144
3011623,49.547
3011624,47.438
3011625,48.855
3011628,44.122
3011630,36.978
3011631,63.534
3011633,45.497
3011635,30.121
3011637,90.305
3011639,50.139
3011640,52.083
3011641,78.81
3011642,109.005
3011643,43.869
3011645,36.428
3011646,50.827
3011647,60.884
3011650,48.97
3011652,49.155
3011653,67.872
3011660,30.484
3011663,31.301
3011665,19.643
3011668,54.816
3011675,29.029
3011685,18.253
3011687,19.86
3011695,12.496
3012600,22.188
3012602,9.272
3012603,32.951
3012605,10.308
3012606,10.928
3012607,20.325
3012608,-0.114
3012609,18.064
3012612,6.318
3012620,3.623
3012625,18.093
3012629,68.294
3012630,33.4
3012633,0.083
3012634,-0.126
3012635,14.177
3012637,33.117
3012650,2.063
3012655,77.052
3012662,-0.017
3012664,0.045
3012665,5.598
3012674,4.158
3012675,-11.24
3012680,-0.458
3012681,3.115
3012685,-0.001
3012690,0.532
3013603,62.335
3013605,45.015
3013630,10.782
3013650,16.0
3013652,16.0
3013660,30.065
3013665,5.225
3013668,2.17
3013670,0.96
3013685,1.07
3014610,-12.131
3014632,1.591
3014639,-0.453
3014650,0.354
3014670,-1.192
3014680,0.347
3014690,0.0
3014695,0.0
3101603,18.805
3101604,20.066
3101613,23.851
3101614,21.637
3101625,4.861
3101626,6.934
3101627,28.787
3101630,0.704
3101634,18.444
3101635,18.46
3101638,24.522
3101639,35.562
3101640,5.828
3101645,0.483
3101650,-0.226
3101652,28.787
3101655,45.147
3101660,30.25
3101661,5.926
3101667,22.799
3101670,17.445
3101672,24.11
3101673,17.42
3101675,7.9
3101680,51.3
3101683,10.947
3101685,5.943
3101686,6.797
3101690,1.136
3101693,-1.245
3101696,1.018
3102623,14.5
3201670,2.581
3201686,20.696
3201690,0.247
3202640,23.746
3202645,2.603
3202646,5.218
3202660,1.997
3203605,5.123
3203612,13.694
3203620,3.079
3203630,23.2
3203635,116.573
3203640,44.0
3203645,32.0
3203652,-0.544
3203680,2.493
3203690,-0.288
3301605,108.0
3301610,80.0
3301612,0.0
3301615,88.62
3301619,0.0
3301620,43.25
3301623,58.429
3301625,43.246
3301630,27.071
3301632,106.462
3301635,60.697
3301637,45.133
3301640,22.352
3301645,7.827
3301647,33.01
3301648,61.5
3301650,47.0
3301652,30.593
3301653,29.55
3301654,24.45
3301655,17.248
3301656,28.67
3301657,33.224
3301660,56.28
3301662,61.055
3301665,7.718
3301670,2.096
3301673,8.988
3301675,3.104
3301680,2.734
3301684,2.72
3301685,-2.107
3301688,-1.07
3301690,-2.244
3302610,94.0
3302615,19.135
3302617,154.497
3302620,6.451
3302626,7.028
3302630,1.454
3302635,94.0
3302640,108.0
3302643,45.7
3302645,27.29
3302650,74.0
3302652,22.96
3302653,15.169
3302654,7.61
3302655,3.09
3302656,1.24
3302657,-0.123
3302658,2.975
3302659,18.754
3302660,1.792
3302662,52.7
3302665,-1.052
3302675,-0.872
3302680,2.395
3302685,-2.098
3302690,-1.974
3303110,0.0
3303660,46.405
3303670,49.0
4001605,268.96
4001610,243.631
4001613,213.23
4001617,229.5
4001620,201.064
4001628,204.221
4001655,235.065
4001660,217.445
4002605,0.0
4002610,123.952
4002613,152.97
4002620,125.355
4002640,114.547
4002660,121.35
4002690,78.264
4003630,117.1
4003650,107.995
4003690,84.353
4004615,72.685
4004630,84.92
4004632,81.427
4004640,69.021
4004650,64.826
4004660,58.88
4004680,81.62
4004690,46.688
4005620,370.0
4005627,0.0
4005630,279.0
4005633,242.92
4005645,194.831
4005660,131.877
4005670,93.853
4005675,100.75
4005690,49.672
4006660,43.681
4006667,51.94
4006680,27.38
4007610,133.18
4007615,143.22
4007616,135.168
4007618,137.783
4007620,127.3
4007625,0.0
4007630,111.25
4007660,0.0
4007661,129.449
4007670,115.51
4007695,0.0
4007697,112.459
4008603,28.06
4008650,61.311
4008655,0.0
4008660,47.115
4008670,36.425
4009601,64.37
4009608,25.941
4009610,21.937
4009618,19.03
4009622,44.886
4009625,20.367
4009629,24.2
4009630,6.217
4009635,119.68
4009638,20.947
4009640,4.067
4009650,0.964
4009665,-6.163
4009667,137.54
4009669,29.98
4009670,2.052
4009690,18.754
4101620,3.77
4101640,3.736
4102650,1.87
4104603,159.97
4104610,0.0
4104620,0.0
4104625,0.0
4104640,28.128
4104655,0.0
4104665,9.024
4104675,0.03
4104680,2.76
4104685,2.905
4104690,22.25
4105210,0.0
4105610,70.651
4105625,2.04
4105630,6.784
4105633,74.76
4105640,4.537
4105660,69.121
4105665,0.685
4105670,-3.215
4105694,16.53
5001610,0.0
5001615,53.587
5001616,80.87
5001617,55.21
5001618,60.96
5001620,50.311
5001623,64.112
5001625,26.878
5001627,28.092
5001628,41.34
5001630,2.452
5001632,20.104
5001640,18.763
5001645,15.92
5001650,15.635
5001655,12.294
5001660,8.469
5001669,71.21
5001670,52.695
5001673,34.899
5001676,22.39
5001680,4.702
5001682,17.75
5002201,0.0
5002610,94.974
5002620,0.0
5002630,63.06
5002643,42.11
5002650,35.554
5002660,22.43
5002665,29.26
5002666,0.0
5002670,51.02
5002673,112.22
5002677,21.692
5002680,0.0
5002690,6.746
5003602,88.25
5003604,71.2
5003605,48.802
5003606,63.952
5003607,57.078
5003610,33.426
5003612,82.45
5003613,47.354
5003615,33.951
5003620,19.648
5003640,0.0
5003650,25.569
5003680,11.15
5004620,3.871
5004625,4.24
5004630,-1.22
5004645,26.65
5004650,-2.626
5004655,3.916
5004670,-4.57
5004684,12.275
5004690,-4.53
5004696,0.0
5004698,0.0
5005630,23.45
5005650,12.972
5005680,1.228
5006610,-7.026
5006617,0.0
5006620,4.413
5006630,-1.881
5006670,-7.855
5006673,-3.1
5007630,0.383
5007640,-2.862
5007650,-1.62
5008670,-4.255
5008690,0.0
