station_id,station_name,stream_code,upstream_1,upstream_1_name,upstream_1_lag0,upstream_2,upstream_2_name,upstream_2_lag0,fix_1,fix_2
1001602,평창군(송정교),1001,,,,,,,R1_lag0,R1_lag0
1001603,태백시(무사교),1001,,,,,,,역류_발원지,R1_lag0
1001605,송천1교,1001,1001603,태백시(무사교),False,1001602,평창군(송정교),False,,
1001607,삼척시(번천교),1001,1001605,송천1교,False,1001603,태백시(무사교),False,,
1001613,삼척시(광동교),1001,1001607,삼척시(번천교),False,1001605,송천1교,False,,
1001615,삼척시(갈밭교),1001,1001613,삼척시(광동교),False,1001607,삼척시(번천교),False,,
1001620,정선군(송계교),1001,1001615,삼척시(갈밭교),False,1001613,삼척시(광동교),False,,
1001622,정선군(혈천교),1001,1001620,정선군(송계교),False,1001615,삼척시(갈밭교),False,,
1001623,정선군(오장2교),1001,1001622,정선군(혈천교),False,1001620,정선군(송계교),False,,
1001625,정선군(송천교),1001,1001623,정선군(오장2교),False,1001622,정선군(혈천교),False,,
1001626,정선군(제1여량교),1001,1001625,정선군(송천교),False,1001623,정선군(오장2교),False,,
1001629,정선군(남평대교),1001,1001626,정선군(제1여량교),False,1001625,정선군(송천교),False,,
1001630,정선군(나전교),1001,1001629,정선군(남평대교),False,1001626,정선군(제1여량교),False,,
1001641,정선군(각희교),1001,1001630,정선군(나전교),False,1001629,정선군(남평대교),False,,
1001645,정선군(와평교),1001,1001641,정선군(각희교),False,1001630,정선군(나전교),False,,
1001649,정선군(애산교),1001,1001645,정선군(와평교),False,1001641,정선군(각희교),False,,
1001650,정선군(삼거리교),1001,1001649,정선군(애산교),False,1001645,정선군(와평교),False,,
1001655,정선군(정선제1교),1001,1001650,정선군(삼거리교),False,1001649,정선군(애산교),False,,
1001658,정선군(광하교),1001,1001655,정선군(정선제1교),False,1001650,정선군(삼거리교),False,,
1001660,정선군(낙동교),1001,1001658,정선군(광하교),False,1001655,정선군(정선제1교),False,,
1001661,정선군(광탄교),1001,1001660,정선군(낙동교),False,1001658,정선군(광하교),False,,
1001665,평창군(마하교),1001,1001661,정선군(광탄교),False,1001660,정선군(낙동교),False,,
1001670,영월군(거운교),1001,1001665,평창군(마하교),False,1001661,정선군(광탄교),False,,
1001683,영월군(삼옥교),1001,1001670,영월군(거운교),False,1001665,평창군(마하교),False,,
1001690,영월군(영월대교),1001,1001683,영월군(삼옥교),False,1001670,영월군(거운교),False,,
1001695,영월군(신촌교),1001,1001690,영월군(영월대교),False,1001683,영월군(삼옥교),False,,
1002605,평창군(이목정교),1002,,,,,,,R1_lag0,R1_lag0
