,korObs,korInst,waterElevation,sphereLarge,inOperation,methodObs,codeObs,codeWatershed,korStream,1차,2차,3차,4차,5차,6차,7차,8차
215,춘천시(천전리),기후에너지환경부,76.64,한강,운영,T/M,1012685.0,101208,소양강댐하류,109.0,28,7,1,,,3,
216,춘천시(춘천댐),기후에너지환경부,102.44,한강,운영,T/M,1010690.0,101011,춘천댐,106.0,19,5,2,1,2,,
217,춘천시(춘천댐하류),기후에너지환경부,72.13,한강,운영,T/M,1010695.0,101012,춘천댐하류,49.0,12,3,,,1,,
218,춘천시(충의대교),기후에너지환경부,50.36,한강,운영,T/M,1014690.0,101414,홍천강하류,157.0,40,7,2,1,1,,
219,춘천시(팔미3교),기후에너지환경부,79.08,한강,운영,T/M,1013643.0,101303,팔미천,114.0,26,8,1,,,,
220,춘천시(효자교),기후에너지환경부,71.61,한강,운영,T/M,1013610.0,101301,공지천,67.0,18,4,2,,,,
221,충주시(국원대교),기후에너지환경부,64.4,한강,운영,T/M,1004695.0,100413,요도천,482.0,126,34,6,2,1,,
222,충주시(능암교),기후에너지환경부,68.48,한강,운영,T/M,1005650.0,100503,운계천합류전,466.0,122,30,5,1,,,1
223,충주시(목계교),기후에너지환경부,52.97,한강,운영,T/M,1005640.0,100502,목계수위표,173.0,47,13,4,2,,,1
224,충주시(문강교),기후에너지환경부,99.83,한강,운영,T/M,1004680.0,100412,석문동천,236.0,59,15,4,2,1,,
225,충주시(봉계교),기후에너지환경부,72.54,한강,운영,T/M,1004696.0,100414,달천하류,196.0,50,9,2,,2,1,
226,충주시(세포교),기후에너지환경부,61.68,한강,운영,T/M,1005660.0,100504,운계천,234.0,53,11,1,,,,
227,충주시(주덕교),기후에너지환경부,79.34,한강,운영,T/M,1004694.0,100413,요도천,482.0,126,34,6,2,1,,
228,충주시(탄금교),기후에너지환경부,64.28,한강,운영,T/M,1005605.0,100414,달천하류,196.0,50,9,2,,2,1,
229,파주시(교하교),기후에너지환경부,2.81,한강,운영,T/M,1019680.0,101906,임진강합류전,253.0,62,20,5,2,,,
230,파주시(덕천교),기후에너지환경부,16.35,한강,운영,T/M,1023635.0,102303,눌노천합류후,102.0,23,5,1,1,,1,
231,파주시(만장교),기후에너지환경부,22.83,한강,운영,T/M,1023674.0,102305,문산천상류,50.0,13,4,1,,,,
232,파주시(비룡대교),기후에너지환경부,7.5,한강,운영,T/M,1023660.0,102301,적성수위표,69.0,17,3,1,,1,1,
233,파주시(신우교),기후에너지환경부,58.66,한강,운영,T/M,1023671.0,102305,문산천상류,50.0,13,4,1,,,,
234,파주시(아가메교),기후에너지환경부,2.88,한강,운영,T/M,1023680.0,102306,문산천하류,47.0,13,2,1,,,,
235,파주시(전진교),기후에너지환경부,2.37,한강,운영,T/M,1023667.0,102304,문산천합류후,80.0,16,3,1,,,1,
236,파주시(주월교),기후에너지환경부,9.23,한강,운영,T/M,1023677.0,102306,문산천하류,47.0,13,2,1,,,,
237,파주시(통일대교),기후에너지환경부,1.95,한강,운영,T/M,1023670.0,102304,문산천합류후,80.0,16,3,1,,,1,
238,평창군(마하교),기후에너지환경부,221.43,한강,운영,T/M,1001665.0,100115,창리천,102.0,23,7,2,1,,,
239,평창군(바이오교),기후에너지환경부,465.79,한강,운영,T/M,1002626.0,100203,대화천,88.0,26,6,2,,,,
240,평창군(사초교),기후에너지환경부,376.62,한강,운영,T/M,1002635.0,100203,대화천,88.0,26,6,2,,,,
241,평창군(상방림교),기후에너지환경부,359.83,한강,운영,T/M,1002640.0,100205,평창수위표,71.0,18,4,3,1,,,
242,평창군(선애교),기후에너지환경부,385.97,한강,운영,T/M,1002625.0,100202,평창강상류,87.0,25,4,,1,,,
243,평창군(송정교),기후에너지환경부,513.21,한강,운영,T/M,1001602.0,100108,오대천상류,297.0,73,15,4,1,,,
244,평창군(이목정교),기후에너지환경부,592.57,한강,운영,T/M,1002605.0,100201,흥정천,165.0,39,9,3,1,,,
245,평창군(장평교),기후에너지환경부,526.82,한강,운영,T/M,1002610.0,100201,흥정천,165.0,39,9,3,1,,,
246,평창군(진전교),기후에너지환경부,522.05,한강,운영,T/M,1002615.0,100201,흥정천,165.0,39,9,3,1,,,
247,평창군(평창교),기후에너지환경부,288.63,한강,운영,T/M,1002650.0,100206,평창강중류,576.0,135,27,6,2,1,,
248,평창군(하방림교),기후에너지환경부,368.66,한강,운영,T/M,1002636.0,100204,계촌천,63.0,12,3,1,,,,
249,평택시(군문교),기후에너지환경부,2.44,안성천,운영,T/M,1101635.0,110107,평택수위표,54.0,17,5,1,3,3,1,
250,평택시(동연교),기후에너지환경부,2.25,안성천,운영,T/M,1101670.0,110115,진위천,144.0,38,6,1,,,1,
251,평택시(진위1교),기후에너지환경부,6.39,안성천,운영,T/M,1101663.0,110114,동연교수위표,363.0,102,31,7,2,2,1,
252,평택시(팽성대교),기후에너지환경부,2.25,안성천,운영,T/M,1101680.0,110116,아산방조제상류,119.0,37,8,2,,,2,1
253,평택시(회화리),기후에너지환경부,5.34,안성천,운영,T/M,1101665.0,110114,동연교수위표,363.0,102,31,7,2,2,1,
254,포천시(가산교),기후에너지환경부,103.58,한강,운영,T/M,1022651.0,102208,포천천상류,310.0,80,21,3,1,,,
255,포천시(낭유대교),기후에너지환경부,104.93,한강,운영,T/M,1022646.0,102206,영평천상류,327.0,81,20,4,1,,,
256,포천시(마명1교),기후에너지환경부,90.17,한강,운영,T/M,1018619.0,101802,퇴계원수위표,480.0,130,33,8,1,,,
257,포천시(신백의교),기후에너지환경부,45.39,한강,운영,T/M,1022655.0,102210,영평천하류,304.0,77,16,5,3,1,,
258,포천시(영평교),기후에너지환경부,57.04,한강,운영,T/M,1022650.0,102210,영평천하류,304.0,77,16,5,3,1,,
259,포천시(용담교),기후에너지환경부,93.06,한강,운영,T/M,1022640.0,102204,부소천합류후,212.0,52,15,4,1,1,,
260,포천시(은현교),기후에너지환경부,61.99,한강,운영,T/M,1022648.0,102209,포천천하류,212.0,55,11,1,1,,,
261,포천시(제1도평교),기후에너지환경부,159.54,한강,운영,T/M,1022641.0,102206,영평천상류,327.0,81,20,4,1,,,
262,포천시(지현교),기후에너지환경부,100.3,한강,운영,T/M,1022649.0,102209,포천천하류,212.0,55,11,1,1,,,
263,포천시(포천대교),기후에너지환경부,89.97,한강,운영,T/M,1022647.0,102208,포천천상류,310.0,80,21,3,1,,,
264,홍천군(가덕교),기후에너지환경부,504.07,한강,운영,T/M,1012625.0,101201,내린천상류,386.0,90,25,5,2,1,,
265,홍천군(군업1교),기후에너지환경부,162.4,한강,운영,T/M,1014637.0,101405,군업천,73.0,13,2,1,1,,,
266,홍천군(굴운교),기후에너지환경부,132.34,한강,운영,T/M,1014640.0,101406,덕치천합류전,28.0,8,1,,1,,,
267,홍천군(귀미뜰교),기후에너지환경부,149.43,한강,운영,T/M,1014645.0,101407,덕치천,82.0,18,6,2,1,,,
268,홍천군(남노일대교),기후에너지환경부,91.19,한강,운영,T/M,1014665.0,101410,양덕원천합류전,81.0,20,3,2,,1,,
269,홍천군(모곡교),기후에너지환경부,58.94,한강,운영,T/M,1014696.0,101413,중방대천,108.0,27,9,2,2,,,
270,홍천군(반곡교),기후에너지환경부,69.72,한강,운영,T/M,1014680.0,101412,서면수위표,251.0,54,8,3,1,1,,
271,홍천군(용선교),기후에너지환경부,185.96,한강,운영,T/M,1014620.0,101402,내촌천하류,133.0,32,6,,1,,,
272,홍천군(용수교),기후에너지환경부,100.59,한강,운영,T/M,1014664.0,101411,양덕원천,153.0,33,7,2,,,,
273,홍천군(용호대교),기후에너지환경부,243.73,한강,운영,T/M,1014618.0,101402,내촌천하류,133.0,32,6,,1,,,
274,홍천군(주음치교),기후에너지환경부,152.82,한강,운영,T/M,1014630.0,101404,화촌수위표,43.0,12,1,1,1,,,
275,홍천군(지다치교),기후에너지환경부,169.26,한강,운영,T/M,1014622.0,101403,홍천강상류,118.0,25,3,1,,,,
276,홍천군(홍천교),기후에너지환경부,120.89,한강,운영,T/M,1014650.0,101408,홍천수위표,80.0,23,4,1,2,1,,
277,홍천군(화계교),기후에너지환경부,122.91,한강,운영,T/M,1014652.0,101409,성동천,69.0,15,3,1,,,,
278,화성시(발안천2교),기후에너지환경부,3.65,한강서해,운영,T/M,1202668.0,120206,남양방조제,781.0,308,89,34,10,1,,
279,화성시(수직교),기후에너지환경부,5.08,안성천,운영,T/M,1101650.0,110113,황구지천하류,341.0,93,27,7,1,1,,
280,화성시(화산교),기후에너지환경부,13.72,안성천,운영,T/M,1101605.0,110113,황구지천하류,341.0,93,27,7,1,1,,
281,화천군(신대교),기후에너지환경부,130.79,한강,운영,T/M,1010673.0,101008,화천천,205.0,43,9,2,1,,,
282,화천군(신읍교),기후에너지환경부,111.26,한강,운영,T/M,1010674.0,101008,화천천,205.0,43,9,2,1,,,
283,화천군(일광교),기후에너지환경부,259.9,한강,운영,T/M,1010686.0,101010,지촌천,142.0,36,9,2,1,,,
284,화천군(화천댐),기후에너지환경부,170.12,한강,운영,T/M,1010660.0,101006,화천댐,113.0,30,11,1,1,1,,
285,횡성군(둔방내리),기후에너지환경부,484.65,한강,운영,T/M,1002670.0,100207,주천강시점,263.0,62,15,6,1,,,
286,횡성군(안흥교),기후에너지환경부,415.46,한강,운영,T/M,1002675.0,100208,주천강상류,406.0,88,15,5,1,,,
287,횡성군(오산교),기후에너지환경부,120.28,한강,운영,T/M,1006630.0,100603,금계천,161.0,35,10,1,,,,
288,횡성군(전천교),기후에너지환경부,108.82,한강,운영,T/M,1006660.0,100604,전천,446.0,109,23,5,1,,,
289,횡성군(청곡교),기후에너지환경부,149.16,한강,운영,T/M,1006628.0,100603,금계천,161.0,35,10,1,,,,
290,횡성군(횡성교),기후에너지환경부,107.12,한강,운영,T/M,1006650.0,100605,원주천합류전,426.0,105,20,7,3,1,,
