watershed4,obscd_a,korObs_a,obscd_b,korObs_b,mean_lag_h,std_lag_h,mean_cc_peak,mean_dtw_dist,n_events
1007,1007620,여주시(강천리),1007685,양평군(양평교),20.2,49.64,6.1418,1.9665,5
1007,1007625,여주시(남한강교),1007633,강천보(상류),20.2,11.88,4.2245,3.3038,5
1007,1007641,여주보(하류),1007685,양평군(양평교),20.2,49.08,6.9459,1.9894,5
1007,1007641,여주보(하류),1007690,양평군(봉상교),20.2,10.26,7.8263,1.3202,5
1007,1007641,여주보(하류),1007680,양평군(흑천교),20.4,10.85,7.0496,1.2944,5
1007,1007634,강천보(하류),1007685,양평군(양평교),20.6,48.86,6.4953,2.1846,5
1007,1007620,여주시(강천리),1007690,양평군(봉상교),20.8,11.37,7.1107,1.4249,5
1007,1007620,여주시(강천리),1007645,이천시(복하교),21.0,11.64,5.9399,2.2701,5
1007,1007620,여주시(강천리),1007680,양평군(흑천교),21.0,11.7,6.4821,1.2931,5
1007,1007625,여주시(남한강교),1007685,양평군(양평교),21.2,49.64,5.123,2.024,5
1007,1007639,여주보(상류),1007642,이천시(동산교),21.2,11.92,2.7618,3.1304,5
1007,1007625,여주시(남한강교),1007645,이천시(복하교),21.6,11.78,5.2434,2.5143,5
1007,1007625,여주시(남한강교),1007690,양평군(봉상교),21.6,11.78,6.0546,1.8331,5
1007,1007641,여주보(하류),1007650,여주시(흥천대교),21.6,11.26,6.0246,1.6099,5
1007,1007620,여주시(강천리),1007650,여주시(흥천대교),21.8,12.05,5.7408,1.4761,5
1007,1007625,여주시(남한강교),1007680,양평군(흑천교),21.8,11.48,5.5445,1.5802,5
1007,1007634,강천보(하류),1007697,양평군(신원리),21.8,48.2,5.3027,3.5986,5
1007,1007639,여주보(상류),1007645,이천시(복하교),21.8,11.37,3.4613,2.8437,5
1007,1007620,여주시(강천리),1007642,이천시(동산교),22.0,12.33,4.2551,2.1718,5
1007,1007641,여주보(하류),1007645,이천시(복하교),22.2,11.92,6.2666,2.1236,5
1007,1007625,여주시(남한강교),1007650,여주시(흥천대교),22.4,12.2,5.1483,1.5494,5
1007,1007625,여주시(남한강교),1007642,이천시(동산교),22.6,12.46,3.8849,2.1798,5
1007,1007641,여주보(하류),1007642,이천시(동산교),22.8,12.74,4.4771,2.2206,5
1007,1007634,강천보(하류),1007645,이천시(복하교),23.4,12.34,5.524,2.6203,5
1007,1007634,강천보(하류),1007650,여주시(흥천대교),23.6,12.2,5.4145,1.7807,5
1007,1007640,여주시(율극교),1007697,양평군(신원리),23.6,31.62,4.1352,4.3644,5
1007,1007634,강천보(하류),1007642,이천시(동산교),24.2,12.77,4.3072,2.2889,5
1007,1007610,음성군(총천교),1007634,강천보(하류),25.6,37.53,4.3998,3.2344,5
1007,1007655,여주시(양촌교),1007687,양평군(여물교),26.0,0.0,6.3334,1.4021,1
1007,1007610,음성군(총천교),1007641,여주보(하류),26.2,38.54,4.5385,2.8048,5
1007,1007610,음성군(총천교),1007620,여주시(강천리),26.8,39.23,3.9962,2.9896,5
1007,1007610,음성군(총천교),1007625,여주시(남한강교),27.0,39.89,3.3434,3.0669,5
1007,1007641,여주보(하류),1007687,양평군(여물교),27.0,0.0,5.1788,1.9051,1
1007,1007605,이천시(장호원교),1007625,여주시(남한강교),27.4,42.62,4.989,3.2244,5
1007,1007610,음성군(총천교),1007685,양평군(양평교),27.4,21.54,4.3136,2.4863,5
1007,1007605,이천시(장호원교),1007634,강천보(하류),27.6,41.22,5.7649,3.3439,5
1007,1007617,여주시(삼합교),1007634,강천보(하류),27.8,41.38,6.4769,3.3576,5
