watershed4,obscd_a,korObs_a,obscd_b,korObs_b,mean_lag_h,std_lag_h,mean_cc_peak,mean_dtw_dist,n_events
1001,1001665,평창군(마하교),1001695,영월군(신촌교),8.0,0.0,18.5212,2.0069,1
1001,1001630,정선군(나전교),1001665,평창군(마하교),9.0,0.0,13.7643,1.1792,1
1001,1001623,정선군(오장2교),1001665,평창군(마하교),10.0,0.0,15.5445,1.8717,1
1001,1001641,정선군(각희교),1001645,정선군(와평교),12.0,0.0,12.4171,2.6848,1
1001,1001641,정선군(각희교),1001649,정선군(애산교),12.0,0.0,13.7835,2.6575,1
1001,1001623,정선군(오장2교),1001629,정선군(남평대교),13.0,0.0,16.3031,2.4233,1
1001,1001641,정선군(각희교),1001695,영월군(신촌교),14.0,0.0,14.0603,2.9791,1
1001,1001602,평창군(송정교),1001695,영월군(신촌교),15.0,0.0,15.4285,1.5588,1
1001,1001622,정선군(혈천교),1001695,영월군(신촌교),16.0,0.0,16.2004,2.0548,1
1001,1001655,정선군(정선제1교),1001665,평창군(마하교),16.0,0.0,12.6453,1.3229,1
1001,1001658,정선군(광하교),1001665,평창군(마하교),16.0,0.0,11.6147,1.1925,1
1001,1001620,정선군(송계교),1001695,영월군(신촌교),17.0,0.0,14.7172,1.972,1
