obscd,korObs,rank,neighbor_obscd,neighbor_korObs,score,n_events,method
1001655,정선군(정선제1교),5,1006670,원주시(옥산교),0.7232,1,T1_avg_dist
1001658,정선군(광하교),1,1001625,정선군(송천교),0.5146,4,T1_avg_dist
1001658,정선군(광하교),2,1001655,정선군(정선제1교),0.5793,5,T1_avg_dist
1001658,정선군(광하교),3,1006690,원주시(문막교),0.6357,1,T1_avg_dist
1001658,정선군(광하교),4,1006672,원주시(장현교),0.6448,1,T1_avg_dist
1001658,정선군(광하교),5,1006670,원주시(옥산교),0.6756,1,T1_avg_dist
1001660,정선군(낙동교),1,1003605,영월군(충혼교),0.4814,1,T1_avg_dist
1001660,정선군(낙동교),2,1001655,정선군(정선제1교),0.6506,3,T1_avg_dist
1001660,정선군(낙동교),3,1001649,정선군(애산교),0.7298,4,T1_avg_dist
1001660,정선군(낙동교),4,1005695,원주시(법천교),0.8205,1,T1_avg_dist
1001660,정선군(낙동교),5,1001645,정선군(와평교),0.8497,4,T1_avg_dist
1001665,평창군(마하교),1,1005660,충주시(세포교),2.1098,1,T1_avg_dist
1001665,평창군(마하교),2,1002693,영월군(농공단지교),2.1557,1,T1_avg_dist
1001665,평창군(마하교),3,1002626,평창군(바이오교),2.2223,1,T1_avg_dist
1001665,평창군(마하교),4,1002687,영월군(신천교),2.284,1,T1_avg_dist
1001665,평창군(마하교),5,1001602,평창군(송정교),2.293,1,T1_avg_dist
1001670,영월군(거운교),1,1003642,단양군(덕천교),0.4964,1,T1_avg_dist
1001670,영월군(거운교),2,1001629,정선군(남평대교),0.5954,1,T1_avg_dist
1001670,영월군(거운교),3,1003636,단양군(가대교),0.6663,2,T1_avg_dist
1001670,영월군(거운교),4,1003625,영월군(각동교),0.7606,1,T1_avg_dist
1001670,영월군(거운교),5,1002687,영월군(신천교),0.7894,1,T1_avg_dist
1001690,영월군(영월대교),1,1001670,영월군(거운교),0.3819,1,T1_avg_dist
1001690,영월군(영월대교),2,1003636,단양군(가대교),0.5883,4,T1_avg_dist
1001690,영월군(영월대교),3,1003642,단양군(덕천교),0.6646,4,T1_avg_dist
1001690,영월군(영월대교),4,1001649,정선군(애산교),0.6724,3,T1_avg_dist
1001690,영월군(영월대교),5,1001645,정선군(와평교),0.6794,3,T1_avg_dist
1001695,영월군(신촌교),1,1001645,정선군(와평교),2.3752,1,T1_avg_dist
1001695,영월군(신촌교),2,1001649,정선군(애산교),2.4152,1,T1_avg_dist
1001695,영월군(신촌교),3,1007640,여주시(율극교),2.5952,1,T1_avg_dist
1001695,영월군(신촌교),4,1007650,여주시(흥천대교),2.6517,1,T1_avg_dist
1001695,영월군(신촌교),5,1007645,이천시(복하교),2.6905,1,T1_avg_dist
1002605,평창군(이목정교),1,1002640,평창군(상방림교),0.4588,1,T1_avg_dist
1002605,평창군(이목정교),2,1006677,원주시(판대2교),0.52,1,T1_avg_dist
1002605,평창군(이목정교),3,1006672,원주시(장현교),0.6259,1,T1_avg_dist
1002605,평창군(이목정교),4,1002615,평창군(진전교),0.6487,5,T1_avg_dist
1002605,평창군(이목정교),5,1006690,원주시(문막교),0.6646,1,T1_avg_dist
1002610,평창군(장평교),1,1002625,평창군(선애교),0.5816,3,T1_avg_dist
1002610,평창군(장평교),2,1006630,횡성군(오산교),0.6624,1,T1_avg_dist
1002610,평창군(장평교),3,1006670,원주시(옥산교),0.6624,2,T1_avg_dist
1002610,평창군(장평교),4,1002615,평창군(진전교),0.675,2,T1_avg_dist
1002610,평창군(장평교),5,1002640,평창군(상방림교),0.6882,3,T1_avg_dist
1002615,평창군(진전교),1,1007690,양평군(봉상교),0.4588,1,T1_avg_dist
1002615,평창군(진전교),2,1002640,평창군(상방림교),0.5671,1,T1_avg_dist
1002615,평창군(진전교),3,1006630,횡성군(오산교),0.5775,1,T1_avg_dist
1002615,평창군(진전교),4,1002605,평창군(이목정교),0.6188,4,T1_avg_dist
1002615,평창군(진전교),5,1002610,평창군(장평교),0.675,2,T1_avg_dist
1002625,평창군(선애교),1,1002610,평창군(장평교),0.5816,3,T1_avg_dist
1002625,평창군(선애교),2,1002640,평창군(상방림교),0.6432,4,T1_avg_dist
1002625,평창군(선애교),3,1002680,영월군(두학교),0.7426,1,T1_avg_dist
1002625,평창군(선애교),4,1002693,영월군(농공단지교),0.768,3,T1_avg_dist
1002625,평창군(선애교),5,1006628,횡성군(청곡교),0.8533,1,T1_avg_dist
1002626,평창군(바이오교),1,1002636,평창군(하방림교),1.6586,1,T1_avg_dist
1002626,평창군(바이오교),2,1002685,영월군(주천교),1.8857,1,T1_avg_dist
1002626,평창군(바이오교),3,1001658,정선군(광하교),1.9498,1,T1_avg_dist
1002626,평창군(바이오교),4,1005660,충주시(세포교),2.0238,1,T1_avg_dist
1002626,평창군(바이오교),5,1003658,제천시(부수동교),2.137,1,T1_avg_dist
1002635,평창군(사초교),1,1001602,평창군(송정교),0.633,3,T1_avg_dist
1002635,평창군(사초교),2,1002698,영월군(팔괴교),0.7739,3,T1_avg_dist
1002635,평창군(사초교),3,1001630,정선군(나전교),0.78,4,T1_avg_dist
1002635,평창군(사초교),4,1002640,평창군(상방림교),0.7868,4,T1_avg_dist
1002635,평창군(사초교),5,1002610,평창군(장평교),0.9252,3,T1_avg_dist
1002636,평창군(하방림교),1,1002626,평창군(바이오교),1.6586,1,T1_avg_dist
1002636,평창군(하방림교),2,1001630,정선군(나전교),1.6604,1,T1_avg_dist
1002636,평창군(하방림교),3,1001602,평창군(송정교),1.7128,1,T1_avg_dist
1002636,평창군(하방림교),4,1006628,횡성군(청곡교),1.7252,1,T1_avg_dist
1002636,평창군(하방림교),5,1007640,여주시(율극교),1.7783,1,T1_avg_dist
1002640,평창군(상방림교),1,1006677,원주시(판대2교),0.418,1,T1_avg_dist
1002640,평창군(상방림교),2,1002605,평창군(이목정교),0.4588,1,T1_avg_dist
1002640,평창군(상방림교),3,1002625,평창군(선애교),0.5239,3,T1_avg_dist
1002640,평창군(상방림교),4,1002615,평창군(진전교),0.5671,1,T1_avg_dist
1002640,평창군(상방림교),5,1007690,양평군(봉상교),0.6467,1,T1_avg_dist
1002650,평창군(평창교),1,1006677,원주시(판대2교),0.554,1,T1_avg_dist
1002650,평창군(평창교),2,1007637,여주시(당우교),0.6386,1,T1_avg_dist
1002650,평창군(평창교),3,1002615,평창군(진전교),0.6788,1,T1_avg_dist
1002650,평창군(평창교),4,1002640,평창군(상방림교),0.681,5,T1_avg_dist
1002650,평창군(평창교),5,1002605,평창군(이목정교),0.7349,1,T1_avg_dist
1002670,횡성군(둔방내리),1,1002675,횡성군(안흥교),0.9338,1,T1_avg_dist
1002670,횡성군(둔방내리),2,1006672,원주시(장현교),0.9867,1,T1_avg_dist
1002670,횡성군(둔방내리),3,1001602,평창군(송정교),1.0019,1,T1_avg_dist
1002670,횡성군(둔방내리),4,1001630,정선군(나전교),1.3347,1,T1_avg_dist
1002670,횡성군(둔방내리),5,1006690,원주시(문막교),1.4724,1,T1_avg_dist
1002675,횡성군(안흥교),1,1002680,영월군(두학교),0.7804,3,T1_avg_dist
1002675,횡성군(안흥교),2,1002640,평창군(상방림교),0.8313,1,T1_avg_dist
1002675,횡성군(안흥교),3,1002670,횡성군(둔방내리),0.9338,1,T1_avg_dist
1002675,횡성군(안흥교),4,1007655,여주시(양촌교),0.9948,5,T1_avg_dist
1002675,횡성군(안흥교),5,1002610,평창군(장평교),1.0111,1,T1_avg_dist
1002680,영월군(두학교),1,1002687,영월군(신천교),0.5852,1,T1_avg_dist
1002680,영월군(두학교),2,1006690,원주시(문막교),0.6967,1,T1_avg_dist
1002680,영월군(두학교),3,1002685,영월군(주천교),0.703,1,T1_avg_dist
1002680,영월군(두학교),4,1002625,평창군(선애교),0.7426,1,T1_avg_dist
1002680,영월군(두학교),5,1002698,영월군(팔괴교),0.7548,1,T1_avg_dist
1002685,영월군(주천교),1,1002687,영월군(신천교),0.6184,5,T1_avg_dist
1002685,영월군(주천교),2,1006680,원주시(지정대교),0.6941,3,T1_avg_dist
1002685,영월군(주천교),3,1002680,영월군(두학교),0.703,1,T1_avg_dist
1002685,영월군(주천교),4,1007620,여주시(강천리),0.7228,3,T1_avg_dist
1002685,영월군(주천교),5,1002698,영월군(팔괴교),0.7398,1,T1_avg_dist
1002687,영월군(신천교),1,1002698,영월군(팔괴교),0.4591,1,T1_avg_dist
1002687,영월군(신천교),2,1002680,영월군(두학교),0.5852,1,T1_avg_dist
1002687,영월군(신천교),3,1002685,영월군(주천교),0.6184,5,T1_avg_dist
1002687,영월군(신천교),4,1001690,영월군(영월대교),0.6828,1,T1_avg_dist
1002687,영월군(신천교),5,1007620,여주시(강천리),0.8437,3,T1_avg_dist
1002691,영월군(화병교),1,1002698,영월군(팔괴교),0.2323,1,T1_avg_dist
1002691,영월군(화병교),2,1003625,영월군(각동교),0.4767,1,T1_avg_dist
1002691,영월군(화병교),3,1001630,정선군(나전교),0.825,1,T1_avg_dist
1002691,영월군(화병교),4,1001670,영월군(거운교),0.8464,1,T1_avg_dist
1002691,영월군(화병교),5,1001602,평창군(송정교),0.8828,1,T1_avg_dist
