obscd,korObs,rank,neighbor_obscd,neighbor_korObs,dtw_dist
1001602,평창군(송정교),1,1001655,정선군(정선제1교),0.7705
1001602,평창군(송정교),2,1006672,원주시(장현교),0.9535
1001602,평창군(송정교),3,1006670,원주시(옥산교),1.0048
1001602,평창군(송정교),4,1001658,정선군(광하교),1.0813
1001602,평창군(송정교),5,1002615,평창군(진전교),1.191
1001620,정선군(송계교),1,1001626,정선군(제1여량교),1.6758
1001620,정선군(송계교),2,1001670,영월군(거운교),1.829
1001620,정선군(송계교),3,1003645,단양군(단양1교),1.8969
1001620,정선군(송계교),4,1003642,단양군(덕천교),1.9191
1001620,정선군(송계교),5,1007634,강천보(하류),1.9593
1001622,정선군(혈천교),1,1001626,정선군(제1여량교),0.7965
1001622,정선군(혈천교),2,1003605,영월군(충혼교),1.3831
1001622,정선군(혈천교),3,1001670,영월군(거운교),1.456
1001622,정선군(혈천교),4,1001629,정선군(남평대교),1.4585
1001622,정선군(혈천교),5,1004645,괴산군(수전교),1.5964
1001625,정선군(송천교),1,1001658,정선군(광하교),0.5472
1001625,정선군(송천교),2,1003636,단양군(가대교),0.593
1001625,정선군(송천교),3,1002698,영월군(팔괴교),0.612
1001625,정선군(송천교),4,1006690,원주시(문막교),0.7054
1001625,정선군(송천교),5,1001690,영월군(영월대교),0.706
1001626,정선군(제1여량교),1,1001622,정선군(혈천교),0.7965
1001626,정선군(제1여량교),2,1003605,영월군(충혼교),1.1939
1001626,정선군(제1여량교),3,1001670,영월군(거운교),1.675
1001626,정선군(제1여량교),4,1001620,정선군(송계교),1.6758
1001626,정선군(제1여량교),5,1001660,정선군(낙동교),1.732
1001629,정선군(남평대교),1,1001670,영월군(거운교),0.5954
1001629,정선군(남평대교),2,1003636,단양군(가대교),0.6585
1001629,정선군(남평대교),3,1001690,영월군(영월대교),0.6975
1001629,정선군(남평대교),4,1003642,단양군(덕천교),0.7101
1001629,정선군(남평대교),5,1001625,정선군(송천교),0.8315
1001630,정선군(나전교),1,1006672,원주시(장현교),0.602
1001630,정선군(나전교),2,1002610,평창군(장평교),0.6296
1001630,정선군(나전교),3,1002605,평창군(이목정교),0.6388
1001630,정선군(나전교),4,1006690,원주시(문막교),0.6474
1001630,정선군(나전교),5,1001655,정선군(정선제1교),0.695
1001645,정선군(와평교),1,1001649,정선군(애산교),0.3148
1001645,정선군(와평교),2,1001660,정선군(낙동교),0.7181
1001645,정선군(와평교),3,1003660,제천시(팔송교),0.8023
1001645,정선군(와평교),4,1007615,여주시(원부교),0.9174
1001645,정선군(와평교),5,1003605,영월군(충혼교),0.9247
1001649,정선군(애산교),1,1001645,정선군(와평교),0.3148
1001649,정선군(애산교),2,1001660,정선군(낙동교),0.6516
1001649,정선군(애산교),3,1003605,영월군(충혼교),0.7515
1001649,정선군(애산교),4,1003660,제천시(팔송교),0.7859
1001649,정선군(애산교),5,1003620,영월군(옥동교),1.0095
1001655,정선군(정선제1교),1,1001658,정선군(광하교),0.5564
1001655,정선군(정선제1교),2,1001630,정선군(나전교),0.695
1001655,정선군(정선제1교),3,1006672,원주시(장현교),0.7162
1001655,정선군(정선제1교),4,1006670,원주시(옥산교),0.7232
1001655,정선군(정선제1교),5,1001602,평창군(송정교),0.7705
1001658,정선군(광하교),1,1001625,정선군(송천교),0.5472
1001658,정선군(광하교),2,1001655,정선군(정선제1교),0.5564
1001658,정선군(광하교),3,1006690,원주시(문막교),0.6357
1001658,정선군(광하교),4,1006672,원주시(장현교),0.6448
1001658,정선군(광하교),5,1006670,원주시(옥산교),0.6756
1001660,정선군(낙동교),1,1003605,영월군(충혼교),0.4814
1001660,정선군(낙동교),2,1001649,정선군(애산교),0.6516
1001660,정선군(낙동교),3,1001645,정선군(와평교),0.7181
1001660,정선군(낙동교),4,1005695,원주시(법천교),0.8205
1001660,정선군(낙동교),5,1001670,영월군(거운교),0.9698
1001670,영월군(거운교),1,1001690,영월군(영월대교),0.3819
1001670,영월군(거운교),2,1003642,단양군(덕천교),0.4964
1001670,영월군(거운교),3,1003636,단양군(가대교),0.4996
1001670,영월군(거운교),4,1001629,정선군(남평대교),0.5954
1001670,영월군(거운교),5,1002687,영월군(신천교),0.7894
1001690,영월군(영월대교),1,1003636,단양군(가대교),0.334
1001690,영월군(영월대교),2,1001670,영월군(거운교),0.3819
1001690,영월군(영월대교),3,1003642,단양군(덕천교),0.3857
1001690,영월군(영월대교),4,1002698,영월군(팔괴교),0.4948
1001690,영월군(영월대교),5,1002687,영월군(신천교),0.6828
1002605,평창군(이목정교),1,1002615,평창군(진전교),0.4435
1002605,평창군(이목정교),2,1006672,원주시(장현교),0.6259
1002605,평창군(이목정교),3,1001630,정선군(나전교),0.6388
1002605,평창군(이목정교),4,1006690,원주시(문막교),0.6646
1002605,평창군(이목정교),5,1006670,원주시(옥산교),0.6692
1002610,평창군(장평교),1,1001630,정선군(나전교),0.6296
1002610,평창군(장평교),2,1006672,원주시(장현교),0.7651
1002610,평창군(장평교),3,1002605,평창군(이목정교),0.8085
1002610,평창군(장평교),4,1002615,평창군(진전교),0.8315
1002610,평창군(장평교),5,1006670,원주시(옥산교),0.8528
1002615,평창군(진전교),1,1002605,평창군(이목정교),0.4435
1002615,평창군(진전교),2,1006672,원주시(장현교),0.8084
1002615,평창군(진전교),3,1006670,원주시(옥산교),0.8106
1002615,평창군(진전교),4,1002610,평창군(장평교),0.8315
1002615,평창군(진전교),5,1001655,정선군(정선제1교),0.8756
1002625,평창군(선애교),1,1002680,영월군(두학교),0.7426
