obscd,korObs,rank,neighbor_obscd,neighbor_korObs,dtw_dist
1002625,평창군(선애교),2,1002610,평창군(장평교),0.5816
1002625,평창군(선애교),3,1002693,영월군(농공단지교),0.768
1002625,평창군(선애교),4,1003660,제천시(팔송교),0.8751
1002625,평창군(선애교),5,1002650,평창군(평창교),0.9221
1002635,평창군(사초교),1,1001602,평창군(송정교),0.633
1002635,평창군(사초교),2,1001630,정선군(나전교),0.7033
1002635,평창군(사초교),3,1002640,평창군(상방림교),0.745
1002635,평창군(사초교),4,1002698,영월군(팔괴교),0.7739
1002635,평창군(사초교),5,1002610,평창군(장평교),0.9252
1002640,평창군(상방림교),1,1002625,평창군(선애교),0.5239
1002640,평창군(상방림교),2,1002610,평창군(장평교),0.6882
1002640,평창군(상방림교),3,1002635,평창군(사초교),0.745
1002640,평창군(상방림교),4,1002650,평창군(평창교),0.7768
1002640,평창군(상방림교),5,1001630,정선군(나전교),0.9408
1002650,평창군(평창교),1,1002640,평창군(상방림교),0.7768
1002650,평창군(평창교),2,1003660,제천시(팔송교),0.8605
1002650,평창군(평창교),3,1003658,제천시(부수동교),0.8742
1002650,평창군(평창교),4,1001630,정선군(나전교),0.8843
1002650,평창군(평창교),5,1002625,평창군(선애교),0.9221
1002675,횡성군(안흥교),1,1002680,영월군(두학교),0.7804
1002675,횡성군(안흥교),2,1007655,여주시(양촌교),0.9508
1002675,횡성군(안흥교),3,1007680,양평군(흑천교),1.0655
1002675,횡성군(안흥교),4,1007690,양평군(봉상교),1.1613
1002675,횡성군(안흥교),5,1002650,평창군(평창교),1.3023
1002680,영월군(두학교),1,1002675,횡성군(안흥교),0.7804
1002680,영월군(두학교),2,1007680,양평군(흑천교),1.0117
1002680,영월군(두학교),3,1007655,여주시(양촌교),1.023
1002680,영월군(두학교),4,1007690,양평군(봉상교),1.0848
1002680,영월군(두학교),5,1002650,평창군(평창교),1.7381
1002685,영월군(주천교),1,1002687,영월군(신천교),0.4681
1002685,영월군(주천교),2,1006680,원주시(지정대교),0.6941
1002685,영월군(주천교),3,1007620,여주시(강천리),0.7228
1002685,영월군(주천교),4,1006660,횡성군(전천교),0.9248
1002685,영월군(주천교),5,1006672,원주시(장현교),1.0435
1002687,영월군(신천교),1,1002685,영월군(주천교),0.4681
1002687,영월군(신천교),2,1007620,여주시(강천리),0.8437
1002687,영월군(신천교),3,1006672,원주시(장현교),0.9605
1002687,영월군(신천교),4,1006680,원주시(지정대교),1.0126
1002687,영월군(신천교),5,1006690,원주시(문막교),1.0265
1002693,영월군(농공단지교),1,1003660,제천시(팔송교),0.7556
1002693,영월군(농공단지교),2,1002625,평창군(선애교),0.768
1002693,영월군(농공단지교),3,1005695,원주시(법천교),0.9474
1002693,영월군(농공단지교),4,1002610,평창군(장평교),0.9732
1002693,영월군(농공단지교),5,1003661,제천시(구곡교),1.0126
1002698,영월군(팔괴교),1,1002635,평창군(사초교),0.7739
1002698,영월군(팔괴교),2,1003642,단양군(덕천교),0.948
1002698,영월군(팔괴교),3,1001630,정선군(나전교),1.0214
1002698,영월군(팔괴교),4,1002640,평창군(상방림교),1.0312
1002698,영월군(팔괴교),5,1003636,단양군(가대교),1.1015
1003605,영월군(충혼교),1,1004670,괴산군(추산교),0.8146
1003605,영월군(충혼교),2,1003620,영월군(옥동교),0.8385
1003605,영월군(충혼교),3,1007617,여주시(삼합교),0.9027
1003605,영월군(충혼교),4,1004661,괴산군(제2괴산교),0.9937
1003605,영월군(충혼교),5,1007605,이천시(장호원교),0.9951
1003620,영월군(옥동교),1,1004695,충주시(국원대교),0.5778
1003620,영월군(옥동교),2,1004670,괴산군(추산교),0.5928
1003620,영월군(옥동교),3,1003605,영월군(충혼교),0.8385
1003620,영월군(옥동교),4,1007605,이천시(장호원교),1.0334
1003620,영월군(옥동교),5,1007615,여주시(원부교),1.0768
1003636,단양군(가대교),1,1003642,단양군(덕천교),0.2992
1003636,단양군(가대교),2,1001690,영월군(영월대교),0.6731
1003636,단양군(가대교),3,1001602,평창군(송정교),0.8696
1003636,단양군(가대교),4,1001645,정선군(와평교),0.8824
1003636,단양군(가대교),5,1001630,정선군(나전교),0.8866
1003642,단양군(덕천교),1,1003636,단양군(가대교),0.2992
1003642,단양군(덕천교),2,1001645,정선군(와평교),0.7054
1003642,단양군(덕천교),3,1001630,정선군(나전교),0.7289
1003642,단양군(덕천교),4,1001690,영월군(영월대교),0.7576
1003642,단양군(덕천교),5,1001602,평창군(송정교),0.8226
1003645,단양군(단양1교),1,1004620,청주시(옥화1교),0.7318
1003645,단양군(단양1교),2,1004661,괴산군(제2괴산교),1.0706
1003645,단양군(단양1교),3,1004680,충주시(문강교),1.0822
1003645,단양군(단양1교),4,1004616,청주시(청석굴교),1.1741
1003645,단양군(단양1교),5,1007617,여주시(삼합교),1.6068
1003657,제천시(강저3교),1,1006666,원주시(가현교),1.4916
1003657,제천시(강저3교),2,1006665,원주시(원주교),1.5362
1003657,제천시(강저3교),3,1005695,원주시(법천교),1.6736
1003657,제천시(강저3교),4,1006680,원주시(지정대교),2.0168
1003657,제천시(강저3교),5,1006660,횡성군(전천교),2.0216
1003658,제천시(부수동교),1,1001630,정선군(나전교),0.811
1003658,제천시(부수동교),2,1002650,평창군(평창교),0.8742
1003658,제천시(부수동교),3,1003660,제천시(팔송교),0.9053
1003658,제천시(부수동교),4,1001602,평창군(송정교),0.993
1003658,제천시(부수동교),5,1002635,평창군(사초교),0.9986
1003660,제천시(팔송교),1,1001630,정선군(나전교),0.7206
1003660,제천시(팔송교),2,1002693,영월군(농공단지교),0.7556
1003660,제천시(팔송교),3,1002650,평창군(평창교),0.8605
1003660,제천시(팔송교),4,1002625,평창군(선애교),0.8751
1003660,제천시(팔송교),5,1001602,평창군(송정교),0.9029
1003661,제천시(구곡교),1,1006685,원주시(봉미교),1.0029
1003661,제천시(구곡교),2,1002693,영월군(농공단지교),1.0126
1003661,제천시(구곡교),3,1003660,제천시(팔송교),1.09
1003661,제천시(구곡교),4,1001630,정선군(나전교),1.103
1003661,제천시(구곡교),5,1005695,원주시(법천교),1.1263
1004616,청주시(청석굴교),1,1004661,괴산군(제2괴산교),0.8618
1004616,청주시(청석굴교),2,1003645,단양군(단양1교),1.1741
1004616,청주시(청석굴교),3,1003605,영월군(충혼교),1.2089
1004616,청주시(청석굴교),4,1004670,괴산군(추산교),1.3333
1004616,청주시(청석굴교),5,1007617,여주시(삼합교),1.3755
1004620,청주시(옥화1교),1,1003645,단양군(단양1교),0.7318
1004620,청주시(옥화1교),2,1004680,충주시(문강교),1.311
1004620,청주시(옥화1교),3,1004616,청주시(청석굴교),1.402
1004620,청주시(옥화1교),4,1004693,괴산군(목도교),1.5115
1004620,청주시(옥화1교),5,1004645,괴산군(수전교),1.6374
1004645,괴산군(수전교),1,1004693,괴산군(목도교),0.4632
1004645,괴산군(수전교),2,1004620,청주시(옥화1교),1.6374
1004645,괴산군(수전교),3,1004680,충주시(문강교),1.7264
1004645,괴산군(수전교),4,1004646,괴산군(비도교),1.8857
1004645,괴산군(수전교),5,1003645,단양군(단양1교),2.0772
1004646,괴산군(비도교),1,1004693,괴산군(목도교),1.5729
1004646,괴산군(비도교),2,1004645,괴산군(수전교),1.8857
1004646,괴산군(비도교),3,1004680,충주시(문강교),2.341
1004646,괴산군(비도교),4,1004620,청주시(옥화1교),2.7817
1004646,괴산군(비도교),5,1003645,단양군(단양1교),2.8042
1004661,괴산군(제2괴산교),1,1004616,청주시(청석굴교),0.8618
1004661,괴산군(제2괴산교),2,1004670,괴산군(추산교),0.8764
1004661,괴산군(제2괴산교),3,1004695,충주시(국원대교),0.9898
1004661,괴산군(제2괴산교),4,1003605,영월군(충혼교),0.9937
1004661,괴산군(제2괴산교),5,1007617,여주시(삼합교),1.0606
1004670,괴산군(추산교),1,1003620,영월군(옥동교),0.5928
1004670,괴산군(추산교),2,1004695,충주시(국원대교),0.6143
1004670,괴산군(추산교),3,1003605,영월군(충혼교),0.8146
1004670,괴산군(추산교),4,1004661,괴산군(제2괴산교),0.8764
1004670,괴산군(추산교),5,1007615,여주시(원부교),0.9715
1004680,충주시(문강교),1,1003645,단양군(단양1교),1.0822
1004680,충주시(문강교),2,1004693,괴산군(목도교),1.2813
1004680,충주시(문강교),3,1004620,청주시(옥화1교),1.311
1004680,충주시(문강교),4,1004661,괴산군(제2괴산교),1.4234
1004680,충주시(문강교),5,1004616,청주시(청석굴교),1.5068
1004693,괴산군(목도교),1,1004645,괴산군(수전교),0.4632
1004693,괴산군(목도교),2,1004680,충주시(문강교),1.2813
1004693,괴산군(목도교),3,1004620,청주시(옥화1교),1.5115
1004693,괴산군(목도교),4,1004646,괴산군(비도교),1.5729
1004693,괴산군(목도교),5,1003645,단양군(단양1교),1.6911
1004695,충주시(국원대교),1,1003620,영월군(옥동교),0.5778
1004695,충주시(국원대교),2,1004670,괴산군(추산교),0.6143
1004695,충주시(국원대교),3,1007617,여주시(삼합교),0.9196
1004695,충주시(국원대교),4,1007615,여주시(원부교),0.9208
1004695,충주시(국원대교),5,1007605,이천시(장호원교),0.9662
1005605,충주시(탄금교),1,1007639,여주보(상류),3.0774
1005605,충주시(탄금교),2,1007662,이포보(상류),4.4257
1005605,충주시(탄금교),3,1007604,안성시(한평교),4.9882
1005605,충주시(탄금교),4,1007633,강천보(상류),5.2712
1005605,충주시(탄금교),5,1007697,양평군(신원리),5.848
1005640,충주시(목계교),1,1001622,정선군(혈천교),0.8956
1005640,충주시(목계교),2,1007610,음성군(총천교),1.741
1005640,충주시(목계교),3,1004620,청주시(옥화1교),2.2195
1005640,충주시(목계교),4,1004616,청주시(청석굴교),2.7307
1005640,충주시(목계교),5,1003645,단양군(단양1교),2.7681
