watershed4,obscd_a,korObs_a,obscd_b,korObs_b,mean_lag_h,std_lag_h,n_events
1003,1003658,제천시(부수동교),1003661,제천시(구곡교),1.2,1.3,5
1003,1003658,제천시(부수동교),1003660,제천시(팔송교),1.6,0.89,5
1003,1003657,제천시(강저3교),1003661,제천시(구곡교),1.8,0.45,5
1003,1003626,단양군(들골교),1003657,제천시(강저3교),2.0,0.0,1
1003,1003657,제천시(강저3교),1003660,제천시(팔송교),2.2,1.79,5
1003,1003626,단양군(들골교),1003661,제천시(구곡교),4.0,0.0,1
1003,1003625,영월군(각동교),1003636,단양군(가대교),5.0,0.0,1
1003,1003626,단양군(들골교),1003658,제천시(부수동교),5.0,0.0,1
1003,1003625,영월군(각동교),1003642,단양군(덕천교),6.0,0.0,1
1003,1003660,제천시(팔송교),1003667,제천시(용암교),6.0,0.0,1
1003,1003626,단양군(들골교),1003660,제천시(팔송교),7.0,0.0,1
1003,1003658,제천시(부수동교),1003667,제천시(용암교),8.0,0.0,1
1003,1003661,제천시(구곡교),1003667,제천시(용암교),9.0,0.0,1
1003,1003657,제천시(강저3교),1003667,제천시(용암교),11.0,0.0,1
1003,1003626,단양군(들골교),1003652,제천시(덕동교),13.0,0.0,1
1003,1003626,단양군(들골교),1003667,제천시(용암교),13.0,0.0,1
1003,1003645,단양군(단양1교),1003657,제천시(강저3교),17.0,44.3,5
1003,1003645,단양군(단양1교),1003658,제천시(부수동교),17.6,43.47,5
1003,1003645,단양군(단양1교),1003661,제천시(구곡교),18.8,44.41,5
1003,1003645,단양군(단양1교),1003660,제천시(팔송교),19.2,43.7,5
1003,1003601,영월군(주채교),1003645,단양군(단양1교),21.0,0.0,1
1003,1003603,영월군(내리2교),1003645,단양군(단양1교),21.0,0.0,1
1003,1003620,영월군(옥동교),1003645,단양군(단양1교),21.4,28.59,5
1003,1003605,영월군(충혼교),1003645,단양군(단양1교),21.6,28.47,5
1003,1003605,영월군(충혼교),1003626,단양군(들골교),28.0,0.0,1
1003,1003620,영월군(옥동교),1003626,단양군(들골교),28.0,0.0,1
1003,1003654,제천시(송계교),1003657,제천시(강저3교),30.0,0.0,1
1003,1003654,제천시(송계교),1003661,제천시(구곡교),32.0,0.0,1
1003,1003654,제천시(송계교),1003658,제천시(부수동교),33.0,0.0,1
1003,1003626,단양군(들골교),1003645,단양군(단양1교),35.0,0.0,1
1003,1003654,제천시(송계교),1003660,제천시(팔송교),35.0,0.0,1
1003,1003620,영월군(옥동교),1003657,제천시(강저3교),38.4,29.89,5
1003,1003605,영월군(충혼교),1003657,제천시(강저3교),38.6,30.05,5
1003,1003620,영월군(옥동교),1003658,제천시(부수동교),39.0,29.71,5
1003,1003605,영월군(충혼교),1003658,제천시(부수동교),39.2,29.86,5
1003,1003620,영월군(옥동교),1003661,제천시(구곡교),40.2,30.24,5
1003,1003605,영월군(충혼교),1003661,제천시(구곡교),40.4,30.4,5
1003,1003620,영월군(옥동교),1003660,제천시(팔송교),40.6,30.44,5
1003,1003605,영월군(충혼교),1003660,제천시(팔송교),40.8,30.59,5
1003,1003605,영월군(충혼교),1003652,제천시(덕동교),41.0,0.0,1
1003,1003605,영월군(충혼교),1003667,제천시(용암교),41.0,0.0,1
1003,1003620,영월군(옥동교),1003652,제천시(덕동교),41.0,0.0,1
1003,1003620,영월군(옥동교),1003667,제천시(용암교),41.0,0.0,1
1003,1003654,제천시(송계교),1003667,제천시(용암교),41.0,0.0,1
1003,1003601,영월군(주채교),1003625,영월군(각동교),46.0,0.0,1
