station_id,stn_id_aws,datetime,rn,stn_id_aws_expected,aws_map_ok
1001602,560,2024-06-15 00:00:00,-0.3440369542653391,560,True
1001602,560,2024-06-15 01:00:00,-0.3440369542653391,560,True
1001602,560,2024-06-15 02:00:00,-0.3440369542653391,560,True
1001602,560,2024-06-15 03:00:00,-0.3440369542653391,560,True
1001602,560,2024-06-15 04:00:00,-0.3440369542653391,560,True
1001602,560,2024-06-15 05:00:00,-0.3440369542653391,560,True
1001602,560,2024-06-15 06:00:00,-0.3440369542653391,560,True
1001602,560,2024-06-15 07:00:00,-0.3440369542653391,560,True
1001602,560,2024-06-15 08:00:00,-0.3440369542653391,560,True
1001602,560,2024-06-15 09:00:00,0.6567978217792837,560,True
1001602,560,2024-06-15 10:00:00,1.0857270115126934,560,True
1001602,560,2024-06-15 11:00:00,1.0857270115126934,560,True
1001602,560,2024-06-15 12:00:00,1.0857270115126934,560,True
1001602,560,2024-06-15 13:00:00,1.0857270115126934,560,True
1001602,560,2024-06-15 14:00:00,1.0857270115126934,560,True
1001602,560,2024-06-15 15:00:00,1.0857270115126934,560,True
1001602,560,2024-06-15 16:00:00,1.0857270115126934,560,True
1001602,560,2024-06-15 17:00:00,1.0857270115126934,560,True
1001602,560,2024-06-15 18:00:00,1.0857270115126934,560,True
1001602,560,2024-06-15 19:00:00,1.0857270115126934,560,True
1001602,560,2024-06-15 20:00:00,1.0857270115126934,560,True
1001602,560,2024-06-15 21:00:00,1.0857270115126934,560,True
1001602,560,2024-06-15 22:00:00,1.0857270115126934,560,True
1001602,560,2024-06-15 23:00:00,1.0857270115126934,560,True
1001602,560,2024-06-16 00:00:00,1.0857270115126934,560,True
1001602,560,2024-06-16 01:00:00,-0.3440369542653391,560,True
1001602,560,2024-06-16 02:00:00,-0.3440369542653391,560,True
1001602,560,2024-06-16 03:00:00,-0.3440369542653391,560,True
1001602,560,2024-06-16 04:00:00,-0.3440369542653391,560,True
1001602,560,2024-06-16 05:00:00,-0.3440369542653391,560,True
1001602,560,2024-06-16 06:00:00,-0.3440369542653391,560,True
1001602,560,2024-06-16 07:00:00,-0.3440369542653391,560,True
1001602,560,2024-06-16 08:00:00,-0.3440369542653391,560,True
1001602,560,2024-06-16 09:00:00,-0.3440369542653391,560,True
1001602,560,2024-06-16 10:00:00,-0.3440369542653391,560,True
1001602,560,2024-06-16 11:00:00,-0.3440369542653391,560,True
1001602,560,2024-06-16 12:00:00,-0.3440369542653391,560,True
1001602,560,2024-06-16 13:00:00,-0.3440369542653391,560,True
1001602,560,2024-06-16 14:00:00,-0.3440369542653391,560,True
1001602,560,2024-06-16 15:00:00,-0.3440369542653391,560,True
1001602,560,2024-06-16 16:00:00,-0.3440369542653391,560,True
