station_id,slot,upstream_id,lag_steps,lag0,lag_source
1001602,1,,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1001602,2,,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1001620,1,1001615,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1001620,2,1001613,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1001622,1,1001620,7,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1001622,2,1001615,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1001623,1,1001622,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1001623,2,1001620,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1001625,1,1001623,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1001625,2,1001622,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1001626,1,1001625,1,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1001626,2,1001623,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1001629,1,1001626,3,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1001629,2,1001625,4,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1001630,1,1001629,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1001630,2,1001626,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1001641,1,1001630,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1001641,2,1001629,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1001645,1,1001641,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1001645,2,1001630,2,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1001649,1,1001645,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1001649,2,1001641,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1001650,1,1001649,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1001650,2,1001645,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1001655,1,1001650,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1001655,2,1001649,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1001658,1,1001655,1,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1001658,2,1001650,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1001660,1,1001658,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1001660,2,1001655,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1001661,1,1001660,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1001661,2,1001658,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1001665,1,1001661,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1001665,2,1001660,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1001670,1,1001665,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1001670,2,1001661,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1001690,1,1001683,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1001690,2,1001670,1,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1001695,1,1001690,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1001695,2,1001683,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1002605,1,,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1002605,2,,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1002610,1,1002605,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1002610,2,,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1002615,1,1002610,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1002615,2,1002605,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1002625,1,1002615,3,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1002625,2,1002610,2,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1002626,1,1002625,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1002626,2,1002615,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1002635,1,1002626,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1002635,2,1002625,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1002636,1,1002635,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1002636,2,1002626,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1002640,1,1002636,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1002640,2,1002635,1,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1002650,1,1002640,3,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1002650,2,1002636,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1002670,1,,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1002670,2,,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1002675,1,1002670,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1002675,2,1002655,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1002680,1,1002675,3,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1002680,2,1002670,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1002685,1,1002680,2,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1002685,2,1002675,4,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1002687,1,1002685,2,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1002687,2,1002680,4,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1002691,1,1002687,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
1002691,2,1002685,0,False,upstream_lag_ccf_by_station_v20260514_0735.csv
