수계,홍수,특보,특보,홍수,,,,계획홍수위,,계획,수위표,제방고,,,,하폭
,특보,지점,지점,특보 수위,,,,,,홍수량,영점,,,,,(m)
,지점명,위치,및,,,,,,,(㎥/sec),표고,,,,,
,(하천명),,기준,,,,,,,,(El.m),,,,,
,,,수위,주의보,,경 보,,,,,,좌안,,우안,,
,,,고시일,수위표,해발,수위표,해발,수위표,해발,,,수위표,해발,수위표,해발,
,,,,기준,기준,기준,기준,기준,기준,,,기준,기준,기준,기준,
,,,,(m),(El.m),(m),(El.m),(m),(El.m),,,(m),(El.m),(m),(El.m),
,(제1여량교),제1여량교,,,,,,,,,,,,,,
,(골지천),,,,,,,,,,,,,,,
송천,정선군,정선군,24.04.23,4.9,379.59,6.4,381.09,8.1,382.79,"2,955",374.69,9.37,384.06,9.15,383.84,-
,(송천교),송천교,,,,,,,,,,,,,,
,(송천),,,,,,,,,,,,,,,
오대천,정선군,정선군,24.04.23,4,337.21,5,338.21,5.43,338.64,"2,240",333.21,11.1,344.31,10.79,344,-
,(나전교),나전교,,,,,,,,,,,,,,
,(오대천),,,,,,,,,,,,,,,
어천,정선군,정선군,24.04.23,5.4,318.95,6.1,319.65,6,319.55,"1,125",313.55,9.94,323.49,10.26,323.81,-
,(와평교),와평교,,,,,,,,,,,,,,
,(어천),,,,,,,,,,,,,,,
지장천,정선군,정선군,24.04.23,3,327.02,3.5,327.52,3.98,328,"1,005",324.02,5.97,329.99,5.97,329.99,-
,(낙동교),낙동교,,,,,,,,,,,,,,
,(지장천),,,,,,,,,,,,,,,
옥동천,영월군,영월군,24.04.23,4,187.97,4.6,188.57,6.91,190.88,"2,510",183.97,10.12,194.09,10.12,194.09,-
,(옥동교),옥동교,,,,,,,,,,,,,,
,(옥동천),,,,,,,,,,,,,,,
죽령천,단양군,단양군,24.04.23,4,144.9,5,145.9,5.74,146.64,"1,270",140.9,6.83,147.73,6.43,147.33,-
,(단양1교),단양1교,,,,,,,,,,,,,,
,(죽령천),,,,,,,,,,,,,,,
제천천,제천시,제천시,24.04.23,5.3,190.57,6.2,191.47,8.3,193.57,"2,030",185.27,8.43,193.7,8.43,193.7,-
,(구곡교),구곡교,,,,,,,,,,,,,,
,(제천천),,,,,,,,,,,,,,,
원서천,제천시,제천시,24.04.23,4,223.63,4.5,224.13,4.97,224.6,890,219.63,6.54,226.17,6.54,226.17,-
,(부수동교),부수동교,,,,,,,,,,,,,,
,(원서천),,,,,,,,,,,,,,,
쌍천,괴산군,괴산군,24.04.23,3,121.18,3.5,121.68,3.74,121.92,900,118.18,5.9,124.08,5.88,124.06,-
,(비도교),비도교,,,,,,,,,,,,,,
,(쌍천),,,,,,,,,,,,,,,
