수계,하천명 ,본류,하천코드,하천등급,시도기점,시군구기점,읍면동기점,경계기점,시도종점,시군구종점,읍면동종점,경계종점
한강,우고천,한강,1026470,지방,경기,양주,광적,광석리,경기,양주,광적,신천(지방) 합류점
한강,석우천,한강,1026480,지방,경기,양주,광적,덕도리,경기,양주,광적,신천(지방) 합류점
한강,효촌천,한강,1026490,지방,경기,양주,남,두곡리,경기,양주,남,신천(지방) 합류점
한강,입암천,한강,1026500,지방,경기,양주,남,신암리,경기,양주,남,신천(국가) 합류점
한강,청담천,한강,1026510,지방,경기,양주,만송,330-15번지선,경기,양주,은현,용암리 241번지선
한강,덕계천,한강,1026520,지방,경기,양주,덕계,덕계동 598-13,경기,양주,회정,청담천(지방) 합류점
한강,회암천,한강,1026530,지방,경기,양주,율정,율정동 450-6,경기,양주,봉양,청담천(지방) 합류점
한강,상패천,한강,1026540,지방,경기,양주,남,황방리 443,경기,동두천,상패,신천(국가) 합류점
한강,동두천,한강,1026550,지방,경기,동두천,탑,탑동 207-3,경기,동두천,보산,신천(국가) 합류점
한강,수동천,한강,1026560,지방,경기,포천,신북,금동리,경기,연천,청산,신천(국가) 합류점
한강,갈월천,한강,1026570,지방,경기,포천,신북,갈월리,경기,포천,신북,수동천(지방) 합류점
한강,대전천,한강,1026580,지방,경기,연천,청산,대전리,경기,연천,청산,신천(국가) 합류점
한강,차탄천,한강,1026590,지방,경기,연천,신서,대광리 686-8천,경기,연천,전곡,한탄강(지방) 합류점
한강,마전천,한강,1026600,지방,경기,연천,신서,마전리 291전,경기,연천,신서,차탄천(지방) 합류점
한강,답곡천,한강,1026610,지방,경기,연천,신서,답곡리 731전,경기,연천,신서,마전천(지방) 합류점
한강,아미천,한강,1026620,지방,경기,연천,신서,내산리 366천,경기,연천,연천,차탄천(지방) 합류점
한강,양원천,한강,1026630,지방,경기,연천,전곡,양원리 250-1 (서편천 합류점),경기,연천,전곡,한탄강(지방) 합류점
한강,간파천,한강,1026640,지방,경기,연천,전곡,간파리,경기,파주,적성,임진강(국가) 합류점
한강,장현천,한강,1026650,지방,경기,파주,적성,장현리,경기,파주,적성,임진강(국가) 합류점
한강,사미천,한강,1026660,지방,경기,연천,백학,두현리,경기,연천,장남,임진강(국가) 합류점
한강,석장천,한강,1026670,지방,경기,연천,왕징,작동리,경기,연천,백학,임진강(국가) 합류점
한강,백령천,한강,1026680,지방,경기,연천,백학,백령리,경기,연천,백학,석장천(지방) 합류점
한강,가월천,한강,1026690,지방,경기,파주,적성,구읍리,경기,파주,적성,임진강(국가) 합류점
한강,설마천,한강,1026700,지방,경기,파주,적성,설마리,경기,파주,적성,임진강(국가) 합류점
한강,퇴골천,한강,1026710,지방,경기,파주,적성,마지리,경기,파주,적성,설마천(지방) 합류점
