지점,관할기관,3시간전 수위(m),수위 (m),유량,해발수위 (El.m)
안양시(충훈1교),기후에너지환경부,-0.23,-0.23,0.73,16.62
양구군(송청제2교),기후에너지환경부,1.41,1.41,-,188.63
양구군(양지교),기후에너지환경부,0.65,0.65,-,230.66
양양군(북평교),기후에너지환경부,2.62,2.62,-,7.36
양양군(양양대교),기후에너지환경부,0.55,0.55,6.08,1.05
양양군(용천2교),기후에너지환경부,1.8,1.79,-,8.66
양주시(마전3교),기후에너지환경부,2.61,2.61,-,47.5
양주시(발운2교),기후에너지환경부,2.27,2.27,-,74.26
양주시(제궁교),기후에너지환경부,2.25,2.25,-,53.68
양평군(다문교),기후에너지환경부,1.14,1.14,-,56.11
양평군(보룡교),기후에너지환경부,1.73,1.73,-,97.9
양평군(봉상교),기후에너지환경부,0.87,0.87,10.36,79.65
양평군(신원리),기후에너지환경부,0.76,0.79,-,25.08
양평군(양평교),기후에너지환경부,5.41,5.45,203.99,25.01
양평군(여물교),기후에너지환경부,2.14,2.14,-,110.25
양평군(흑천교),기후에너지환경부,1.12,1.12,3.55,32.41
여주보(상류),기후에너지환경부,33.18,33.19,-,33.19
여주보(하류),기후에너지환경부,28.53,28.55,148.04,28.55
여주시(강천리),기후에너지환경부,-0.15,-0.13,-,38.27
여주시(남한강교),기후에너지환경부,1.94,1.95,100.73,38.24
여주시(당우교),기후에너지환경부,3.43,3.43,-,43.84
여주시(삼합교),기후에너지환경부,-0.38,-0.39,-,41.69
여주시(양촌교),기후에너지환경부,-0.65,-0.65,0.43,29.49
여주시(여주대교),기후에너지환경부,0.8,0.81,124.95,33.34
여주시(용은교),기후에너지환경부,2.3,2.3,-,41.15
여주시(원부교),기후에너지환경부,0.29,0.3,2.09,51.24
여주시(율극교),기후에너지환경부,0.85,0.85,1.92,32.91
여주시(흥천대교),기후에너지환경부,1.31,1.3,3.34,32.84
연천군(보막교),기후에너지환경부,2.7,2.7,-,76.71
연천군(사랑교),기후에너지환경부,1.68,1.67,18.75,19.98
연천군(사미천교),기후에너지환경부,0.3,0.29,-,6.88
연천군(삼화교),기후에너지환경부,2.59,2.57,-,7.94
연천군(신천교),기후에너지환경부,0.87,0.87,3.24,28.3
연천군(임진교),기후에너지환경부,0.65,0.66,3.75,17.62
연천군(차탄교),기후에너지환경부,0.44,0.43,1.3,48.24
연천군(필승교),기후에너지환경부,0.19,0.18,10.68,31.18
영월군(각동교),기후에너지환경부,2.81,2.8,-,168.14
영월군(거운교),기후에너지환경부,1.65,1.63,49.1,198.57
영월군(내리2교),기후에너지환경부,1.73,1.73,-,256.91
영월군(농공단지교),기후에너지환경부,2.71,2.7,-,202.28
영월군(두학교),기후에너지환경부,0.32,0.31,-,306.57
영월군(신천교),기후에너지환경부,1.37,1.38,13.75,211.87
영월군(신촌교),기후에너지환경부,1.99,1.98,-,227.41
영월군(영월대교),기후에너지환경부,0.87,0.86,54.25,184.07
