obscd,korObs,final_cluster,confidence,method
1007634,강천보(하류),4,0.4,C1_dominant
1007635,여주시(여주대교),4,0.2,C1_dominant
1007637,여주시(당우교),5,1.0,C1_dominant
1007639,여주보(상류),4,0.6,C1_dominant
1007640,여주시(율극교),6,0.4,C1_dominant
1007641,여주보(하류),4,0.4,C1_dominant
1007642,이천시(동산교),6,0.4,C1_dominant
1007645,이천시(복하교),6,0.4,C1_dominant
1007650,여주시(흥천대교),6,0.6,C1_dominant
1007655,여주시(양촌교),2,0.4,C1_dominant
1007662,이포보(상류),6,0.4,C1_dominant
1007664,이포보(하류),4,0.2,C1_dominant
1007680,양평군(흑천교),2,0.4,C1_dominant
1007685,양평군(양평교),2,0.4,C1_dominant
1007687,양평군(여물교),7,1.0,C1_dominant
1007690,양평군(봉상교),2,0.4,C1_dominant
1007697,양평군(신원리),4,0.4,C1_dominant
