obscd,korObs,rank,neighbor_obscd,neighbor_korObs,score,n_events,method
1001602,평창군(송정교),1,1001630,정선군(나전교),0.5604,4,T3_sil_weighted
1001602,평창군(송정교),2,1002635,평창군(사초교),0.633,3,T3_sil_weighted
1001602,평창군(송정교),3,1002605,평창군(이목정교),0.7285,3,T3_sil_weighted
1001602,평창군(송정교),4,1001655,정선군(정선제1교),0.7705,1,T3_sil_weighted
1001602,평창군(송정교),5,1003642,단양군(덕천교),0.8226,3,T3_sil_weighted
1001620,정선군(송계교),1,1004640,괴산군(적석교),1.2033,1,T3_sil_weighted
1001620,정선군(송계교),2,1001660,정선군(낙동교),1.2881,1,T3_sil_weighted
1001620,정선군(송계교),3,1001626,정선군(제1여량교),1.7167,2,T3_sil_weighted
1001620,정선군(송계교),4,1007615,여주시(원부교),1.719,2,T3_sil_weighted
1001620,정선군(송계교),5,1007617,여주시(삼합교),1.7192,2,T3_sil_weighted
1001622,정선군(혈천교),1,1001626,정선군(제1여량교),1.2341,3,T3_sil_weighted
1001622,정선군(혈천교),2,1004693,괴산군(목도교),1.3267,1,T3_sil_weighted
1001622,정선군(혈천교),3,1001670,영월군(거운교),1.456,1,T3_sil_weighted
1001622,정선군(혈천교),4,1003605,영월군(충혼교),1.5436,2,T3_sil_weighted
1001622,정선군(혈천교),5,1005640,충주시(목계교),1.5746,2,T3_sil_weighted
1001623,정선군(오장2교),1,1003642,단양군(덕천교),1.3595,1,T3_sil_weighted
1001623,정선군(오장2교),2,1001625,정선군(송천교),1.6063,1,T3_sil_weighted
1001623,정선군(오장2교),3,1006690,원주시(문막교),1.6125,1,T3_sil_weighted
1001623,정선군(오장2교),4,1001620,정선군(송계교),1.8233,1,T3_sil_weighted
1001623,정선군(오장2교),5,1002675,횡성군(안흥교),1.8939,1,T3_sil_weighted
1001625,정선군(송천교),1,1001658,정선군(광하교),0.5155,4,T3_sil_weighted
1001625,정선군(송천교),2,1001655,정선군(정선제1교),0.5652,3,T3_sil_weighted
1001625,정선군(송천교),3,1003636,단양군(가대교),0.593,1,T3_sil_weighted
1001625,정선군(송천교),4,1002698,영월군(팔괴교),0.612,1,T3_sil_weighted
1001625,정선군(송천교),5,1006690,원주시(문막교),0.7054,1,T3_sil_weighted
1001626,정선군(제1여량교),1,1001622,정선군(혈천교),0.8849,3,T3_sil_weighted
1001626,정선군(제1여량교),2,1003605,영월군(충혼교),1.2925,4,T3_sil_weighted
1001626,정선군(제1여량교),3,1004693,괴산군(목도교),1.6482,1,T3_sil_weighted
1001626,정선군(제1여량교),4,1001670,영월군(거운교),1.675,1,T3_sil_weighted
1001626,정선군(제1여량교),5,1003620,영월군(옥동교),1.6956,1,T3_sil_weighted
1001629,정선군(남평대교),1,1003636,단양군(가대교),0.6585,1,T3_sil_weighted
1001629,정선군(남평대교),2,1001690,영월군(영월대교),0.6975,1,T3_sil_weighted
1001629,정선군(남평대교),3,1003642,단양군(덕천교),0.7101,1,T3_sil_weighted
1001629,정선군(남평대교),4,1001670,영월군(거운교),1.4061,2,T3_sil_weighted
1001629,정선군(남평대교),5,1001625,정선군(송천교),1.6273,2,T3_sil_weighted
1001630,정선군(나전교),1,1001602,평창군(송정교),0.5621,4,T3_sil_weighted
1001630,정선군(나전교),2,1006672,원주시(장현교),0.602,1,T3_sil_weighted
1001630,정선군(나전교),3,1002610,평창군(장평교),0.6296,1,T3_sil_weighted
1001630,정선군(나전교),4,1002605,평창군(이목정교),0.6388,1,T3_sil_weighted
1001630,정선군(나전교),5,1006690,원주시(문막교),0.6474,1,T3_sil_weighted
1001641,정선군(각희교),1,1001660,정선군(낙동교),2.4639,1,T3_sil_weighted
1001641,정선군(각희교),2,1001620,정선군(송계교),2.7329,1,T3_sil_weighted
1001641,정선군(각희교),3,1003645,단양군(단양1교),3.0305,1,T3_sil_weighted
1001641,정선군(각희교),4,1001623,정선군(오장2교),3.1808,1,T3_sil_weighted
1001641,정선군(각희교),5,1007641,여주보(하류),3.2234,1,T3_sil_weighted
1001645,정선군(와평교),1,1001649,정선군(애산교),0.6104,5,T3_sil_weighted
1001645,정선군(와평교),2,1001690,영월군(영월대교),0.6794,3,T3_sil_weighted
1001645,정선군(와평교),3,1003642,단양군(덕천교),0.7054,3,T3_sil_weighted
1001645,정선군(와평교),4,1003660,제천시(팔송교),0.8023,1,T3_sil_weighted
1001645,정선군(와평교),5,1003636,단양군(가대교),0.8824,3,T3_sil_weighted
1001649,정선군(애산교),1,1001645,정선군(와평교),0.4603,5,T3_sil_weighted
1001649,정선군(애산교),2,1001690,영월군(영월대교),0.6724,3,T3_sil_weighted
1001649,정선군(애산교),3,1003605,영월군(충혼교),0.7515,1,T3_sil_weighted
1001649,정선군(애산교),4,1001660,정선군(낙동교),0.7551,4,T3_sil_weighted
1001649,정선군(애산교),5,1003660,제천시(팔송교),0.7859,1,T3_sil_weighted
1001650,정선군(삼거리교),1,1004646,괴산군(비도교),2.6704,1,T3_sil_weighted
1001650,정선군(삼거리교),2,1004631,괴산군(월문교),2.9244,1,T3_sil_weighted
1001650,정선군(삼거리교),3,1004645,괴산군(수전교),3.7573,1,T3_sil_weighted
1001650,정선군(삼거리교),4,1003645,단양군(단양1교),4.1118,1,T3_sil_weighted
1001650,정선군(삼거리교),5,1001641,정선군(각희교),4.194,1,T3_sil_weighted
1001655,정선군(정선제1교),1,1001658,정선군(광하교),0.5392,5,T3_sil_weighted
1001655,정선군(정선제1교),2,1001625,정선군(송천교),0.5652,3,T3_sil_weighted
1001655,정선군(정선제1교),3,1001660,정선군(낙동교),0.6506,3,T3_sil_weighted
1001655,정선군(정선제1교),4,1006672,원주시(장현교),0.7162,1,T3_sil_weighted
1001655,정선군(정선제1교),5,1006670,원주시(옥산교),0.7232,1,T3_sil_weighted
1001658,정선군(광하교),1,1001625,정선군(송천교),0.5152,4,T3_sil_weighted
1001658,정선군(광하교),2,1001655,정선군(정선제1교),0.5569,5,T3_sil_weighted
1001658,정선군(광하교),3,1006690,원주시(문막교),0.6357,1,T3_sil_weighted
1001658,정선군(광하교),4,1006672,원주시(장현교),0.6448,1,T3_sil_weighted
1001658,정선군(광하교),5,1006670,원주시(옥산교),0.6756,1,T3_sil_weighted
1001660,정선군(낙동교),1,1003605,영월군(충혼교),0.4814,1,T3_sil_weighted
1001660,정선군(낙동교),2,1001655,정선군(정선제1교),0.6506,3,T3_sil_weighted
1001660,정선군(낙동교),3,1001649,정선군(애산교),0.7476,4,T3_sil_weighted
1001660,정선군(낙동교),4,1005695,원주시(법천교),0.8205,1,T3_sil_weighted
1001660,정선군(낙동교),5,1001645,정선군(와평교),0.8797,4,T3_sil_weighted
1001665,평창군(마하교),1,1005660,충주시(세포교),2.1098,1,T3_sil_weighted
1001665,평창군(마하교),2,1002693,영월군(농공단지교),2.1557,1,T3_sil_weighted
1001665,평창군(마하교),3,1002626,평창군(바이오교),2.2223,1,T3_sil_weighted
1001665,평창군(마하교),4,1002687,영월군(신천교),2.284,1,T3_sil_weighted
1001665,평창군(마하교),5,1001602,평창군(송정교),2.293,1,T3_sil_weighted
1001670,영월군(거운교),1,1003642,단양군(덕천교),0.4964,1,T3_sil_weighted
1001670,영월군(거운교),2,1001629,정선군(남평대교),0.5954,1,T3_sil_weighted
1001670,영월군(거운교),3,1003636,단양군(가대교),0.6934,2,T3_sil_weighted
1001670,영월군(거운교),4,1003625,영월군(각동교),0.7606,1,T3_sil_weighted
1001670,영월군(거운교),5,1002687,영월군(신천교),0.7894,1,T3_sil_weighted
1001690,영월군(영월대교),1,1001670,영월군(거운교),0.3819,1,T3_sil_weighted
1001690,영월군(영월대교),2,1003636,단양군(가대교),0.6097,4,T3_sil_weighted
1001690,영월군(영월대교),3,1001649,정선군(애산교),0.6724,3,T3_sil_weighted
1001690,영월군(영월대교),4,1001645,정선군(와평교),0.6794,3,T3_sil_weighted
1001690,영월군(영월대교),5,1002687,영월군(신천교),0.6828,1,T3_sil_weighted
1001695,영월군(신촌교),1,1001645,정선군(와평교),2.3752,1,T3_sil_weighted
1001695,영월군(신촌교),2,1001649,정선군(애산교),2.4152,1,T3_sil_weighted
1001695,영월군(신촌교),3,1007640,여주시(율극교),2.5952,1,T3_sil_weighted
1001695,영월군(신촌교),4,1007650,여주시(흥천대교),2.6517,1,T3_sil_weighted
1001695,영월군(신촌교),5,1007645,이천시(복하교),2.6905,1,T3_sil_weighted
1002605,평창군(이목정교),1,1002640,평창군(상방림교),0.4588,1,T3_sil_weighted
1002605,평창군(이목정교),2,1006677,원주시(판대2교),0.52,1,T3_sil_weighted
1002605,평창군(이목정교),3,1002615,평창군(진전교),0.6117,5,T3_sil_weighted
1002605,평창군(이목정교),4,1006672,원주시(장현교),0.6259,1,T3_sil_weighted
1002605,평창군(이목정교),5,1006690,원주시(문막교),0.6646,1,T3_sil_weighted
1002610,평창군(장평교),1,1002625,평창군(선애교),0.5816,3,T3_sil_weighted
1002610,평창군(장평교),2,1006630,횡성군(오산교),0.6624,1,T3_sil_weighted
1002610,평창군(장평교),3,1006670,원주시(옥산교),0.6788,2,T3_sil_weighted
1002610,평창군(장평교),4,1002640,평창군(상방림교),0.6882,3,T3_sil_weighted
1002610,평창군(장평교),5,1002615,평창군(진전교),0.6885,2,T3_sil_weighted
1002615,평창군(진전교),1,1007690,양평군(봉상교),0.4588,1,T3_sil_weighted
1002615,평창군(진전교),2,1002640,평창군(상방림교),0.5671,1,T3_sil_weighted
1002615,평창군(진전교),3,1002605,평창군(이목정교),0.5762,4,T3_sil_weighted
1002615,평창군(진전교),4,1006630,횡성군(오산교),0.5775,1,T3_sil_weighted
1002615,평창군(진전교),5,1002610,평창군(장평교),0.6926,2,T3_sil_weighted
1002625,평창군(선애교),1,1002610,평창군(장평교),0.5816,3,T3_sil_weighted
1002625,평창군(선애교),2,1002640,평창군(상방림교),0.6437,4,T3_sil_weighted
1002625,평창군(선애교),3,1002680,영월군(두학교),0.7426,1,T3_sil_weighted
1002625,평창군(선애교),4,1002693,영월군(농공단지교),0.768,3,T3_sil_weighted
1002625,평창군(선애교),5,1006628,횡성군(청곡교),0.8533,1,T3_sil_weighted
1002626,평창군(바이오교),1,1002636,평창군(하방림교),1.6586,1,T3_sil_weighted
1002626,평창군(바이오교),2,1002685,영월군(주천교),1.8857,1,T3_sil_weighted
1002626,평창군(바이오교),3,1001658,정선군(광하교),1.9498,1,T3_sil_weighted
1002626,평창군(바이오교),4,1005660,충주시(세포교),2.0238,1,T3_sil_weighted
1002626,평창군(바이오교),5,1003658,제천시(부수동교),2.137,1,T3_sil_weighted
1002635,평창군(사초교),1,1001602,평창군(송정교),0.633,3,T3_sil_weighted
1002635,평창군(사초교),2,1002698,영월군(팔괴교),0.7739,3,T3_sil_weighted
1002635,평창군(사초교),3,1001630,정선군(나전교),0.7815,4,T3_sil_weighted
