obscd,korObs,rank,neighbor_obscd,neighbor_korObs,score,method
1006666,원주시(가현교),5,1006680,원주시(지정대교),3,T2_frequency
1006670,원주시(옥산교),1,1006672,원주시(장현교),4,T2_frequency
1006670,원주시(옥산교),2,1002687,영월군(신천교),3,T2_frequency
1006670,원주시(옥산교),3,1006685,원주시(봉미교),3,T2_frequency
1006670,원주시(옥산교),4,1006690,원주시(문막교),3,T2_frequency
1006670,원주시(옥산교),5,1007641,여주보(하류),3,T2_frequency
1006672,원주시(장현교),1,1006670,원주시(옥산교),5,T2_frequency
1006672,원주시(장현교),2,1006690,원주시(문막교),5,T2_frequency
1006672,원주시(장현교),3,1002685,영월군(주천교),3,T2_frequency
1006672,원주시(장현교),4,1002687,영월군(신천교),3,T2_frequency
1006672,원주시(장현교),5,1007641,여주보(하류),3,T2_frequency
1006677,원주시(판대2교),1,1002605,평창군(이목정교),1,T2_frequency
1006677,원주시(판대2교),2,1002615,평창군(진전교),1,T2_frequency
1006677,원주시(판대2교),3,1002640,평창군(상방림교),1,T2_frequency
1006677,원주시(판대2교),4,1002650,평창군(평창교),1,T2_frequency
1006677,원주시(판대2교),5,1006670,원주시(옥산교),1,T2_frequency
1006680,원주시(지정대교),1,1002685,영월군(주천교),4,T2_frequency
1006680,원주시(지정대교),2,1006660,횡성군(전천교),4,T2_frequency
1006680,원주시(지정대교),3,1002687,영월군(신천교),3,T2_frequency
1006680,원주시(지정대교),4,1007620,여주시(강천리),3,T2_frequency
1006680,원주시(지정대교),5,1007635,여주시(여주대교),3,T2_frequency
1006685,원주시(봉미교),1,1003660,제천시(팔송교),4,T2_frequency
1006685,원주시(봉미교),2,1003661,제천시(구곡교),4,T2_frequency
1006685,원주시(봉미교),3,1002615,평창군(진전교),3,T2_frequency
1006685,원주시(봉미교),4,1006690,원주시(문막교),3,T2_frequency
1006685,원주시(봉미교),5,1007641,여주보(하류),3,T2_frequency
1006690,원주시(문막교),1,1006672,원주시(장현교),5,T2_frequency
1006690,원주시(문막교),2,1006670,원주시(옥산교),4,T2_frequency
1006690,원주시(문막교),3,1006685,원주시(봉미교),3,T2_frequency
1006690,원주시(문막교),4,1007641,여주보(하류),3,T2_frequency
1006690,원주시(문막교),5,1007664,이포보(하류),3,T2_frequency
1007604,안성시(한평교),1,1007605,이천시(장호원교),3,T2_frequency
1007604,안성시(한평교),2,1007615,여주시(원부교),3,T2_frequency
1007604,안성시(한평교),3,1004616,청주시(청석굴교),2,T2_frequency
1007604,안성시(한평교),4,1004620,청주시(옥화1교),2,T2_frequency
1007604,안성시(한평교),5,1007617,여주시(삼합교),2,T2_frequency
1007605,이천시(장호원교),1,1007617,여주시(삼합교),5,T2_frequency
1007605,이천시(장호원교),2,1007615,여주시(원부교),4,T2_frequency
1007605,이천시(장호원교),3,1001620,정선군(송계교),2,T2_frequency
1007605,이천시(장호원교),4,1004616,청주시(청석굴교),2,T2_frequency
1007605,이천시(장호원교),5,1004620,청주시(옥화1교),2,T2_frequency
1007606,안성시(두현교),1,1003657,제천시(강저3교),1,T2_frequency
1007606,안성시(두현교),2,1006650,횡성군(횡성교),1,T2_frequency
1007606,안성시(두현교),3,1006666,원주시(가현교),1,T2_frequency
1007606,안성시(두현교),4,1007608,이천시(고당교),1,T2_frequency
1007606,안성시(두현교),5,1007680,양평군(흑천교),1,T2_frequency
1007608,이천시(고당교),1,1005695,원주시(법천교),1,T2_frequency
1007608,이천시(고당교),2,1006630,횡성군(오산교),1,T2_frequency
1007608,이천시(고당교),3,1007605,이천시(장호원교),1,T2_frequency
1007608,이천시(고당교),4,1007606,안성시(두현교),1,T2_frequency
1007608,이천시(고당교),5,1007680,양평군(흑천교),1,T2_frequency
1007610,음성군(총천교),1,1003645,단양군(단양1교),2,T2_frequency
1007610,음성군(총천교),2,1004661,괴산군(제2괴산교),2,T2_frequency
1007610,음성군(총천교),3,1005640,충주시(목계교),2,T2_frequency
1007610,음성군(총천교),4,1007617,여주시(삼합교),2,T2_frequency
1007610,음성군(총천교),5,1001622,정선군(혈천교),1,T2_frequency
1007615,여주시(원부교),1,1007617,여주시(삼합교),5,T2_frequency
1007615,여주시(원부교),2,1007605,이천시(장호원교),4,T2_frequency
1007615,여주시(원부교),3,1001620,정선군(송계교),2,T2_frequency
1007615,여주시(원부교),4,1004616,청주시(청석굴교),2,T2_frequency
1007615,여주시(원부교),5,1004620,청주시(옥화1교),2,T2_frequency
1007617,여주시(삼합교),1,1007605,이천시(장호원교),5,T2_frequency
1007617,여주시(삼합교),2,1007615,여주시(원부교),4,T2_frequency
1007617,여주시(삼합교),3,1001620,정선군(송계교),2,T2_frequency
1007617,여주시(삼합교),4,1001629,정선군(남평대교),2,T2_frequency
1007617,여주시(삼합교),5,1004620,청주시(옥화1교),2,T2_frequency
1007620,여주시(강천리),1,1007641,여주보(하류),5,T2_frequency
1007620,여주시(강천리),2,1002685,영월군(주천교),3,T2_frequency
1007620,여주시(강천리),3,1002687,영월군(신천교),3,T2_frequency
1007620,여주시(강천리),4,1006660,횡성군(전천교),3,T2_frequency
1007620,여주시(강천리),5,1006680,원주시(지정대교),3,T2_frequency
1007625,여주시(남한강교),1,1007620,여주시(강천리),5,T2_frequency
1007625,여주시(남한강교),2,1007635,여주시(여주대교),4,T2_frequency
1007625,여주시(남한강교),3,1006660,횡성군(전천교),3,T2_frequency
1007625,여주시(남한강교),4,1006680,원주시(지정대교),3,T2_frequency
1007625,여주시(남한강교),5,1007640,여주시(율극교),3,T2_frequency
1007626,여주시(용은교),1,1003658,제천시(부수동교),1,T2_frequency
1007626,여주시(용은교),2,1005660,충주시(세포교),1,T2_frequency
1007626,여주시(용은교),3,1007617,여주시(삼합교),1,T2_frequency
1007626,여주시(용은교),4,1007642,이천시(동산교),1,T2_frequency
1007626,여주시(용은교),5,1007650,여주시(흥천대교),1,T2_frequency
1007633,강천보(상류),1,1007639,여주보(상류),4,T2_frequency
1007633,강천보(상류),2,1007662,이포보(상류),4,T2_frequency
1007633,강천보(상류),3,1005605,충주시(탄금교),3,T2_frequency
1007633,강천보(상류),4,1007604,안성시(한평교),3,T2_frequency
1007633,강천보(상류),5,1007697,양평군(신원리),3,T2_frequency
1007634,강천보(하류),1,1002685,영월군(주천교),3,T2_frequency
1007634,강천보(하류),2,1002687,영월군(신천교),3,T2_frequency
1007634,강천보(하류),3,1003661,제천시(구곡교),3,T2_frequency
1007634,강천보(하류),4,1006670,원주시(옥산교),3,T2_frequency
1007634,강천보(하류),5,1006672,원주시(장현교),3,T2_frequency
1007635,여주시(여주대교),1,1007620,여주시(강천리),4,T2_frequency
1007635,여주시(여주대교),2,1007625,여주시(남한강교),4,T2_frequency
1007635,여주시(여주대교),3,1007641,여주보(하류),4,T2_frequency
1007635,여주시(여주대교),4,1006660,횡성군(전천교),3,T2_frequency
1007635,여주시(여주대교),5,1006680,원주시(지정대교),3,T2_frequency
1007637,여주시(당우교),1,1002640,평창군(상방림교),1,T2_frequency
1007637,여주시(당우교),2,1002650,평창군(평창교),1,T2_frequency
1007637,여주시(당우교),3,1006670,원주시(옥산교),1,T2_frequency
1007637,여주시(당우교),4,1006672,원주시(장현교),1,T2_frequency
1007637,여주시(당우교),5,1006677,원주시(판대2교),1,T2_frequency
1007639,여주보(상류),1,1007633,강천보(상류),4,T2_frequency
1007639,여주보(상류),2,1005605,충주시(탄금교),3,T2_frequency
1007639,여주보(상류),3,1007604,안성시(한평교),3,T2_frequency
1007639,여주보(상류),4,1007662,이포보(상류),3,T2_frequency
1007639,여주보(상류),5,1007697,양평군(신원리),3,T2_frequency
1007640,여주시(율극교),1,1006660,횡성군(전천교),3,T2_frequency
1007640,여주시(율극교),2,1006680,원주시(지정대교),3,T2_frequency
1007640,여주시(율극교),3,1007620,여주시(강천리),3,T2_frequency
1007640,여주시(율극교),4,1007625,여주시(남한강교),3,T2_frequency
1007640,여주시(율극교),5,1007635,여주시(여주대교),3,T2_frequency
1007641,여주보(하류),1,1007620,여주시(강천리),5,T2_frequency
1007641,여주보(하류),2,1007664,이포보(하류),4,T2_frequency
1007641,여주보(하류),3,1006672,원주시(장현교),3,T2_frequency
1007641,여주보(하류),4,1006685,원주시(봉미교),3,T2_frequency
1007641,여주보(하류),5,1006690,원주시(문막교),3,T2_frequency
1007642,이천시(동산교),1,1001602,평창군(송정교),3,T2_frequency
1007642,이천시(동산교),2,1002635,평창군(사초교),3,T2_frequency
1007642,이천시(동산교),3,1002675,횡성군(안흥교),3,T2_frequency
1007642,이천시(동산교),4,1007645,이천시(복하교),3,T2_frequency
1007642,이천시(동산교),5,1007650,여주시(흥천대교),3,T2_frequency
1007645,이천시(복하교),1,1001625,정선군(송천교),3,T2_frequency
1007645,이천시(복하교),2,1001655,정선군(정선제1교),3,T2_frequency
1007645,이천시(복하교),3,1001658,정선군(광하교),3,T2_frequency
1007645,이천시(복하교),4,1001660,정선군(낙동교),3,T2_frequency
1007645,이천시(복하교),5,1007604,안성시(한평교),3,T2_frequency
1007650,여주시(흥천대교),1,1001602,평창군(송정교),3,T2_frequency
1007650,여주시(흥천대교),2,1002605,평창군(이목정교),3,T2_frequency
1007650,여주시(흥천대교),3,1002610,평창군(장평교),3,T2_frequency
1007650,여주시(흥천대교),4,1002635,평창군(사초교),3,T2_frequency
1007650,여주시(흥천대교),5,1007655,여주시(양촌교),3,T2_frequency
1007655,여주시(양촌교),1,1002675,횡성군(안흥교),5,T2_frequency
1007655,여주시(양촌교),2,1002680,영월군(두학교),4,T2_frequency
1007655,여주시(양촌교),3,1002625,평창군(선애교),3,T2_frequency
1007655,여주시(양촌교),4,1007680,양평군(흑천교),3,T2_frequency
1007655,여주시(양촌교),5,1007690,양평군(봉상교),3,T2_frequency
1007662,이포보(상류),1,1007604,안성시(한평교),4,T2_frequency
1007662,이포보(상류),2,1007633,강천보(상류),4,T2_frequency
1007662,이포보(상류),3,1005605,충주시(탄금교),3,T2_frequency
1007662,이포보(상류),4,1007639,여주보(상류),3,T2_frequency
1007662,이포보(상류),5,1007697,양평군(신원리),3,T2_frequency
1007664,이포보(하류),1,1002685,영월군(주천교),4,T2_frequency
1007664,이포보(하류),2,1007620,여주시(강천리),4,T2_frequency
1007664,이포보(하류),3,1007641,여주보(하류),4,T2_frequency
1007664,이포보(하류),4,1006672,원주시(장현교),3,T2_frequency
1007664,이포보(하류),5,1006690,원주시(문막교),3,T2_frequency
1007680,양평군(흑천교),1,1007690,양평군(봉상교),4,T2_frequency
1007680,양평군(흑천교),2,1002625,평창군(선애교),3,T2_frequency
1007680,양평군(흑천교),3,1002675,횡성군(안흥교),3,T2_frequency
1007680,양평군(흑천교),4,1002680,영월군(두학교),3,T2_frequency
1007680,양평군(흑천교),5,1007655,여주시(양촌교),3,T2_frequency
1007685,양평군(양평교),1,1007664,이포보(하류),5,T2_frequency
1007685,양평군(양평교),2,1007620,여주시(강천리),4,T2_frequency
1007685,양평군(양평교),3,1007635,여주시(여주대교),4,T2_frequency
1007685,양평군(양평교),4,1006630,횡성군(오산교),3,T2_frequency
1007685,양평군(양평교),5,1007641,여주보(하류),3,T2_frequency
1007687,양평군(여물교),1,1001602,평창군(송정교),1,T2_frequency
1007687,양평군(여물교),2,1001630,정선군(나전교),1,T2_frequency
1007687,양평군(여물교),3,1002698,영월군(팔괴교),1,T2_frequency
1007687,양평군(여물교),4,1006628,횡성군(청곡교),1,T2_frequency
1007687,양평군(여물교),5,1007690,양평군(봉상교),1,T2_frequency
1007690,양평군(봉상교),1,1007680,양평군(흑천교),4,T2_frequency
1007690,양평군(봉상교),2,1002675,횡성군(안흥교),3,T2_frequency
1007690,양평군(봉상교),3,1002680,영월군(두학교),3,T2_frequency
1007690,양평군(봉상교),4,1003661,제천시(구곡교),3,T2_frequency
1007690,양평군(봉상교),5,1007655,여주시(양촌교),3,T2_frequency
1007697,양평군(신원리),1,1007639,여주보(상류),4,T2_frequency
1007697,양평군(신원리),2,1002675,횡성군(안흥교),3,T2_frequency
1007697,양평군(신원리),3,1007633,강천보(상류),3,T2_frequency
1007697,양평군(신원리),4,1007642,이천시(동산교),3,T2_frequency
1007697,양평군(신원리),5,1007662,이포보(상류),3,T2_frequency
