obscd,korObs,rank,neighbor_obscd,neighbor_korObs,score,method
1001665,평창군(마하교),2,1002626,평창군(바이오교),1,T2_frequency
1001665,평창군(마하교),3,1002687,영월군(신천교),1,T2_frequency
1001665,평창군(마하교),4,1002693,영월군(농공단지교),1,T2_frequency
1001665,평창군(마하교),5,1005660,충주시(세포교),1,T2_frequency
1001670,영월군(거운교),1,1001658,정선군(광하교),4,T2_frequency
1001670,영월군(거운교),2,1001690,영월군(영월대교),4,T2_frequency
1001670,영월군(거운교),3,1001625,정선군(송천교),3,T2_frequency
1001670,영월군(거운교),4,1001655,정선군(정선제1교),3,T2_frequency
1001670,영월군(거운교),5,1001660,정선군(낙동교),3,T2_frequency
1001690,영월군(영월대교),1,1003636,단양군(가대교),4,T2_frequency
1001690,영월군(영월대교),2,1003642,단양군(덕천교),4,T2_frequency
1001690,영월군(영월대교),3,1001645,정선군(와평교),3,T2_frequency
1001690,영월군(영월대교),4,1001649,정선군(애산교),3,T2_frequency
1001690,영월군(영월대교),5,1001658,정선군(광하교),3,T2_frequency
1001695,영월군(신촌교),1,1001645,정선군(와평교),1,T2_frequency
1001695,영월군(신촌교),2,1001649,정선군(애산교),1,T2_frequency
1001695,영월군(신촌교),3,1007640,여주시(율극교),1,T2_frequency
1001695,영월군(신촌교),4,1007645,이천시(복하교),1,T2_frequency
1001695,영월군(신촌교),5,1007650,여주시(흥천대교),1,T2_frequency
1002605,평창군(이목정교),1,1002615,평창군(진전교),5,T2_frequency
1002605,평창군(이목정교),2,1001630,정선군(나전교),4,T2_frequency
1002605,평창군(이목정교),3,1001602,평창군(송정교),3,T2_frequency
1002605,평창군(이목정교),4,1003636,단양군(가대교),3,T2_frequency
1002605,평창군(이목정교),5,1003642,단양군(덕천교),3,T2_frequency
1002610,평창군(장평교),1,1001630,정선군(나전교),4,T2_frequency
1002610,평창군(장평교),2,1001602,평창군(송정교),3,T2_frequency
1002610,평창군(장평교),3,1002625,평창군(선애교),3,T2_frequency
1002610,평창군(장평교),4,1002635,평창군(사초교),3,T2_frequency
1002610,평창군(장평교),5,1002640,평창군(상방림교),3,T2_frequency
1002615,평창군(진전교),1,1002605,평창군(이목정교),4,T2_frequency
1002615,평창군(진전교),2,1001602,평창군(송정교),3,T2_frequency
1002615,평창군(진전교),3,1001630,정선군(나전교),3,T2_frequency
1002615,평창군(진전교),4,1003642,단양군(덕천교),3,T2_frequency
1002615,평창군(진전교),5,1006685,원주시(봉미교),3,T2_frequency
1002625,평창군(선애교),1,1002640,평창군(상방림교),4,T2_frequency
1002625,평창군(선애교),2,1002650,평창군(평창교),4,T2_frequency
1002625,평창군(선애교),3,1002610,평창군(장평교),3,T2_frequency
1002625,평창군(선애교),4,1002693,영월군(농공단지교),3,T2_frequency
1002625,평창군(선애교),5,1003660,제천시(팔송교),3,T2_frequency
1002626,평창군(바이오교),1,1001658,정선군(광하교),1,T2_frequency
1002626,평창군(바이오교),2,1002636,평창군(하방림교),1,T2_frequency
