obscd,korObs,cluster_id,is_centroid,silhouette_score,intra_mean_dist,event_date
1001602,평창군(송정교),7,False,0.2886,1.8196,2025-08-14
1001620,정선군(송계교),4,False,-0.0229,2.9956,2025-08-14
1001622,정선군(혈천교),4,False,0.0956,3.7879,2025-08-14
1001623,정선군(오장2교),4,False,0.0423,3.4548,2025-08-14
1001625,정선군(송천교),4,False,0.1425,3.5625,2025-08-14
1001626,정선군(제1여량교),6,False,-0.0149,5.6827,2025-08-14
1001629,정선군(남평대교),7,False,0.1238,5.3465,2025-08-14
1001630,정선군(나전교),7,True,0.3635,1.7494,2025-08-14
1001641,정선군(각희교),4,False,0.193,3.5264,2025-08-14
1001645,정선군(와평교),6,False,0.196,2.8627,2025-08-14
1001649,정선군(애산교),6,False,0.0829,3.416,2025-08-14
1001650,정선군(삼거리교),4,False,0.2319,5.0958,2025-08-14
1001655,정선군(정선제1교),7,False,0.2998,2.2036,2025-08-14
1001658,정선군(광하교),7,False,0.3745,2.0491,2025-08-14
1001660,정선군(낙동교),4,True,0.1257,2.8717,2025-08-14
1001665,평창군(마하교),7,False,0.206,3.0765,2025-08-14
1001670,영월군(거운교),7,False,0.3364,2.6203,2025-08-14
1001690,영월군(영월대교),7,False,0.2313,3.0976,2025-08-14
1001695,영월군(신촌교),6,False,0.1906,3.5558,2025-08-14
1002605,평창군(이목정교),5,False,0.2668,2.056,2025-08-14
1002610,평창군(장평교),5,False,0.4677,1.5394,2025-08-14
1002615,평창군(진전교),5,False,0.4049,1.6338,2025-08-14
1002625,평창군(선애교),7,False,0.3266,2.1982,2025-08-14
1002626,평창군(바이오교),7,False,0.2329,2.6816,2025-08-14
1002635,평창군(사초교),3,False,0.4318,4.8179,2025-08-14
1002636,평창군(하방림교),7,False,0.0276,2.9174,2025-08-14
1002640,평창군(상방림교),5,False,0.3977,1.7428,2025-08-14
1002650,평창군(평창교),5,False,0.3362,1.7968,2025-08-14
1002670,횡성군(둔방내리),7,False,-0.0871,2.9016,2025-08-14
1002675,횡성군(안흥교),7,False,0.2705,2.6439,2025-08-14
1002680,영월군(두학교),7,False,0.4039,2.6087,2025-08-14
1002685,영월군(주천교),7,False,0.2772,2.8446,2025-08-14
1002687,영월군(신천교),7,False,0.3438,2.4645,2025-08-14
1002691,영월군(화병교),7,False,0.4508,1.9133,2025-08-14
1002693,영월군(농공단지교),7,False,0.3026,2.3777,2025-08-14
1002698,영월군(팔괴교),7,False,0.3945,1.9394,2025-08-14
1003601,영월군(주채교),1,False,0.2559,5.3389,2025-08-14
1003603,영월군(내리2교),1,True,0.3648,4.7413,2025-08-14
1003625,영월군(각동교),7,False,0.4935,1.9007,2025-08-14
1003626,단양군(들골교),6,False,-0.0757,4.8037,2025-08-14
1003636,단양군(가대교),7,False,0.5113,2.0633,2025-08-14
