obscd,korObs,cluster_id,is_centroid,silhouette_score,intra_mean_dist,event_date
1001602,평창군(송정교),2,False,0.4119,2.0227,2024-07-18
1001620,정선군(송계교),3,False,0.2038,1.9806,2024-07-18
1001622,정선군(혈천교),3,False,-0.0463,2.6271,2024-07-18
1001625,정선군(송천교),2,False,0.5109,1.2395,2024-07-18
1001626,정선군(제1여량교),3,True,0.2153,1.9365,2024-07-18
1001629,정선군(남평대교),2,False,0.3677,1.7221,2024-07-18
1001630,정선군(나전교),2,False,0.5761,1.302,2024-07-18
1001645,정선군(와평교),7,False,-0.1423,1.7008,2024-07-18
1001649,정선군(애산교),7,False,-0.0222,1.598,2024-07-18
1001655,정선군(정선제1교),2,False,0.5455,1.5246,2024-07-18
1001658,정선군(광하교),2,False,0.5407,1.1993,2024-07-18
1001660,정선군(낙동교),7,True,0.1372,1.4706,2024-07-18
1001670,영월군(거운교),2,False,0.2424,1.6226,2024-07-18
1001690,영월군(영월대교),2,False,0.3019,1.4088,2024-07-18
1002605,평창군(이목정교),2,False,0.5449,1.3558,2024-07-18
1002610,평창군(장평교),2,False,0.5557,1.6028,2024-07-18
1002615,평창군(진전교),2,False,0.5072,1.6271,2024-07-18
1002625,평창군(선애교),2,False,0.4066,1.5711,2024-07-18
1002635,평창군(사초교),2,False,0.4845,1.6524,2024-07-18
1002640,평창군(상방림교),2,False,0.5172,1.6321,2024-07-18
1002650,평창군(평창교),2,False,0.5341,1.3847,2024-07-18
1002675,횡성군(안흥교),2,False,0.4873,1.6118,2024-07-18
1002680,영월군(두학교),2,False,0.4478,1.2213,2024-07-18
1002685,영월군(주천교),2,False,0.1062,1.6122,2024-07-18
1002687,영월군(신천교),2,False,0.2977,1.3237,2024-07-18
1002693,영월군(농공단지교),6,False,0.4353,1.2563,2024-07-18
1002698,영월군(팔괴교),2,False,0.3653,1.2711,2024-07-18
1003605,영월군(충혼교),7,False,0.2193,1.5396,2024-07-18
1003620,영월군(옥동교),6,False,0.2745,1.3457,2024-07-18
1003636,단양군(가대교),2,False,0.3312,1.3459,2024-07-18
1003642,단양군(덕천교),2,False,0.2375,1.4297,2024-07-18
1003645,단양군(단양1교),3,False,0.4058,2.1554,2024-07-18
1003657,제천시(강저3교),6,False,0.4428,1.5335,2024-07-18
1003658,제천시(부수동교),6,False,0.4056,1.2243,2024-07-18
1003660,제천시(팔송교),6,False,0.4028,1.1824,2024-07-18
1003661,제천시(구곡교),6,False,0.4684,1.1401,2024-07-18
1004616,청주시(청석굴교),7,False,0.299,2.2543,2024-07-18
1004620,청주시(옥화1교),7,False,0.1977,2.5944,2024-07-18
1004645,괴산군(수전교),7,False,0.4534,1.7,2024-07-18
1004646,괴산군(비도교),7,False,0.186,1.6771,2024-07-18
1004661,괴산군(제2괴산교),7,False,0.124,2.5599,2024-07-18
1004670,괴산군(추산교),6,False,0.3162,1.9971,2024-07-18
1004680,충주시(문강교),3,False,0.3651,2.5703,2024-07-18
1004693,괴산군(목도교),7,False,0.4859,1.5065,2024-07-18
1004695,충주시(국원대교),6,False,0.4964,1.2662,2024-07-18
1005605,충주시(탄금교),5,False,0.2441,3.0773,2024-07-18
1005640,충주시(목계교),1,True,0.3627,5.5443,2024-07-18
1005695,원주시(법천교),7,False,0.0281,1.7707,2024-07-18
1005697,원주시(남한강대교),5,False,0.137,3.2711,2024-07-18
1006630,횡성군(오산교),2,False,0.4408,1.5935,2024-07-18
1006650,횡성군(횡성교),2,False,0.3583,2.7603,2024-07-18
1006660,횡성군(전천교),2,False,-0.1908,2.3635,2024-07-18
1006665,원주시(원주교),6,False,0.0674,2.0425,2024-07-18
1006666,원주시(가현교),6,False,0.067,1.3279,2024-07-18
1006670,원주시(옥산교),2,False,0.5701,1.4168,2024-07-18
1006672,원주시(장현교),2,False,0.5718,1.2954,2024-07-18
1006680,원주시(지정대교),2,False,-0.1937,2.7763,2024-07-18
1006685,원주시(봉미교),6,False,0.4011,1.1571,2024-07-18
1006690,원주시(문막교),2,True,0.5611,1.1659,2024-07-18
1007604,안성시(한평교),6,False,0.4775,1.2526,2024-07-18
1007605,이천시(장호원교),6,True,0.4538,1.003,2024-07-18
1007610,음성군(총천교),6,False,0.3705,1.314,2024-07-18
1007615,여주시(원부교),6,False,0.4881,1.0103,2024-07-18
1007617,여주시(삼합교),6,False,0.4418,1.057,2024-07-18
1007620,여주시(강천리),4,True,0.664,0.7003,2024-07-18
1007625,여주시(남한강교),4,False,0.4841,0.8649,2024-07-18
1007633,강천보(상류),5,False,-0.0424,2.4298,2024-07-18
1007634,강천보(하류),4,False,0.6068,0.9779,2024-07-18
1007635,여주시(여주대교),4,False,0.6081,0.7311,2024-07-18
1007639,여주보(상류),5,True,-0.0188,2.4255,2024-07-18
1007640,여주시(율극교),6,False,0.3996,1.1029,2024-07-18
1007641,여주보(하류),4,False,0.6196,0.9259,2024-07-18
1007642,이천시(동산교),6,False,0.4384,1.5858,2024-07-18
1007645,이천시(복하교),6,False,0.3762,1.1617,2024-07-18
1007650,여주시(흥천대교),6,False,0.1424,1.4084,2024-07-18
1007655,여주시(양촌교),2,False,0.4741,1.376,2024-07-18
1007662,이포보(상류),6,False,0.2813,1.6477,2024-07-18
1007664,이포보(하류),4,False,0.5915,0.8279,2024-07-18
1007680,양평군(흑천교),2,False,0.1859,2.0124,2024-07-18
1007685,양평군(양평교),4,False,0.329,1.4944,2024-07-18
1007690,양평군(봉상교),2,False,0.382,1.8372,2024-07-18
1007697,양평군(신원리),1,False,-0.1108,5.5443,2024-07-18
