obscd,korObs,cluster_id,is_centroid,silhouette_score,intra_mean_dist,event_date
1001602,평창군(송정교),3,False,0.3555,1.5156,2024-07-25
1001620,정선군(송계교),7,False,-0.0013,2.9788,2024-07-25
1001622,정선군(혈천교),7,False,0.5258,3.4561,2024-07-25
1001625,정선군(송천교),1,False,0.4841,2.02,2024-07-25
1001626,정선군(제1여량교),6,False,0.4898,2.368,2024-07-25
1001629,정선군(남평대교),7,False,0.3838,2.8698,2024-07-25
1001630,정선군(나전교),3,False,0.3389,1.5025,2024-07-25
1001645,정선군(와평교),1,False,0.2498,1.8562,2024-07-25
1001649,정선군(애산교),1,False,0.351,1.8066,2024-07-25
1001655,정선군(정선제1교),1,False,0.5051,1.7967,2024-07-25
1001658,정선군(광하교),1,False,0.4761,1.8943,2024-07-25
1001660,정선군(낙동교),1,True,0.5129,1.6422,2024-07-25
1001670,영월군(거운교),1,False,0.398,2.1856,2024-07-25
1001690,영월군(영월대교),1,False,0.3975,1.6975,2024-07-25
1002605,평창군(이목정교),3,False,0.1891,1.8038,2024-07-25
1002610,평창군(장평교),3,False,0.3531,1.3949,2024-07-25
1002615,평창군(진전교),3,False,0.2202,1.9355,2024-07-25
1002625,평창군(선애교),3,True,0.3688,1.3922,2024-07-25
1002635,평창군(사초교),3,False,0.4564,1.5389,2024-07-25
1002640,평창군(상방림교),3,False,0.5258,1.4284,2024-07-25
1002650,평창군(평창교),3,False,0.5311,1.5002,2024-07-25
1002675,횡성군(안흥교),3,False,0.3526,1.8495,2024-07-25
1002680,영월군(두학교),3,False,0.3879,2.4232,2024-07-25
1002685,영월군(주천교),2,False,0.4215,1.1984,2024-07-25
1002687,영월군(신천교),2,False,0.3808,1.2669,2024-07-25
1002693,영월군(농공단지교),3,False,0.064,1.5749,2024-07-25
1002698,영월군(팔괴교),3,False,0.1943,1.7607,2024-07-25
1003605,영월군(충혼교),6,True,0.5597,2.0026,2024-07-25
1003620,영월군(옥동교),6,False,0.5812,2.1688,2024-07-25
1003636,단양군(가대교),1,False,0.0768,1.9887,2024-07-25
1003642,단양군(덕천교),1,False,-0.0187,2.0457,2024-07-25
1003645,단양군(단양1교),7,False,0.069,3.9201,2024-07-25
1003657,제천시(강저3교),3,False,-0.0642,3.0836,2024-07-25
1003658,제천시(부수동교),3,False,0.3758,1.7077,2024-07-25
1003660,제천시(팔송교),3,False,0.2658,1.4721,2024-07-25
1003661,제천시(구곡교),3,False,0.0746,1.5779,2024-07-25
1004616,청주시(청석굴교),7,False,0.4786,2.3422,2024-07-25
1004620,청주시(옥화1교),7,False,0.4405,2.3558,2024-07-25
1004645,괴산군(수전교),1,False,0.1427,3.3394,2024-07-25
1004646,괴산군(비도교),3,False,0.2512,3.9872,2024-07-25
1004661,괴산군(제2괴산교),6,False,0.5142,2.5945,2024-07-25
1004670,괴산군(추산교),6,False,0.5457,2.2361,2024-07-25
1004680,충주시(문강교),6,False,0.3977,3.0316,2024-07-25
1004693,괴산군(목도교),1,False,0.2777,2.9643,2024-07-25
1004695,충주시(국원대교),7,False,0.2326,3.8432,2024-07-25
1005605,충주시(탄금교),5,True,0.0,0.0,2024-07-25
1005640,충주시(목계교),6,False,0.129,3.2802,2024-07-25
1005695,원주시(법천교),3,False,0.1153,1.8798,2024-07-25
1005697,원주시(남한강대교),1,False,0.4151,2.6836,2024-07-25
1006630,횡성군(오산교),2,False,0.4358,2.022,2024-07-25
1006650,횡성군(횡성교),1,False,0.2871,3.2167,2024-07-25
1006660,횡성군(전천교),2,False,0.3733,1.4255,2024-07-25
1006665,원주시(원주교),3,False,0.0745,2.053,2024-07-25
1006666,원주시(가현교),3,False,-0.1362,2.5681,2024-07-25
1006670,원주시(옥산교),2,False,0.2962,1.6805,2024-07-25
1006672,원주시(장현교),2,False,0.4169,1.367,2024-07-25
1006680,원주시(지정대교),2,False,0.458,1.3662,2024-07-25
1006685,원주시(봉미교),3,False,-0.116,1.7793,2024-07-25
1006690,원주시(문막교),2,False,0.409,1.5044,2024-07-25
1007604,안성시(한평교),7,False,0.1545,3.1652,2024-07-25
1007605,이천시(장호원교),7,True,0.4821,2.1055,2024-07-25
1007610,음성군(총천교),6,False,0.3742,2.6585,2024-07-25
1007615,여주시(원부교),7,False,0.4393,2.1103,2024-07-25
1007617,여주시(삼합교),7,False,0.353,2.2182,2024-07-25
1007620,여주시(강천리),2,True,0.4646,1.1656,2024-07-25
1007625,여주시(남한강교),2,False,0.3266,1.7324,2024-07-25
1007633,강천보(상류),4,False,0.301,3.5348,2024-07-25
1007634,강천보(하류),2,False,0.3317,1.7136,2024-07-25
1007635,여주시(여주대교),2,False,0.4007,1.5234,2024-07-25
1007639,여주보(상류),4,True,0.3704,3.479,2024-07-25
1007640,여주시(율극교),2,False,0.3356,1.7269,2024-07-25
1007641,여주보(하류),2,False,0.4523,1.3404,2024-07-25
1007642,이천시(동산교),1,False,-0.1778,4.2714,2024-07-25
1007645,이천시(복하교),1,False,0.2818,3.255,2024-07-25
1007650,여주시(흥천대교),3,False,0.3392,1.9328,2024-07-25
1007655,여주시(양촌교),3,False,0.3024,1.724,2024-07-25
1007662,이포보(상류),4,False,0.3114,3.7441,2024-07-25
1007664,이포보(하류),2,False,0.4802,1.4328,2024-07-25
1007680,양평군(흑천교),3,False,0.23,1.7068,2024-07-25
1007685,양평군(양평교),2,False,0.4572,2.1241,2024-07-25
1007690,양평군(봉상교),3,False,0.241,1.8645,2024-07-25
1007697,양평군(신원리),4,False,0.2093,4.6237,2024-07-25
