obscd,datetime,wl,fw
1001602,2024-07-01 00:00:00,1.86, 
1001602,2024-07-01 01:00:00,1.85, 
1001602,2024-07-01 02:00:00,1.85, 
1001602,2024-07-01 03:00:00,1.84, 
1001602,2024-07-01 04:00:00,1.83, 
1001602,2024-07-01 05:00:00,1.82, 
1001602,2024-07-01 06:00:00,1.82, 
1001602,2024-07-01 07:00:00,1.81, 
1001602,2024-07-01 08:00:00,1.8, 
1001602,2024-07-01 09:00:00,1.8, 
1001602,2024-07-01 10:00:00,1.79, 
1001602,2024-07-01 11:00:00,1.79, 
1001602,2024-07-01 12:00:00,1.78, 
1001602,2024-07-01 13:00:00,1.77, 
1001602,2024-07-01 14:00:00,1.77, 
1001602,2024-07-01 15:00:00,1.76, 
1001602,2024-07-01 16:00:00,1.76, 
1001602,2024-07-01 17:00:00,1.76, 
1001602,2024-07-01 18:00:00,1.75, 
1001602,2024-07-01 19:00:00,1.75, 
1001602,2024-07-01 20:00:00,1.74, 
1001602,2024-07-01 21:00:00,1.74, 
1001602,2024-07-01 22:00:00,1.74, 
1001602,2024-07-01 23:00:00,1.73, 
1001602,2024-07-02 00:00:00,1.73, 
1001602,2024-07-02 01:00:00,1.73, 
1001602,2024-07-02 02:00:00,1.72, 
1001602,2024-07-02 03:00:00,1.72, 
1001602,2024-07-02 04:00:00,1.72, 
1001602,2024-07-02 05:00:00,1.72, 
1001602,2024-07-02 06:00:00,1.71, 
1001602,2024-07-02 07:00:00,1.71, 
1001602,2024-07-02 08:00:00,1.71, 
1001602,2024-07-02 09:00:00,1.71, 
1001602,2024-07-02 10:00:00,1.71, 
1001602,2024-07-02 11:00:00,1.71, 
1001602,2024-07-02 12:00:00,1.73, 
1001602,2024-07-02 13:00:00,1.77, 
1001602,2024-07-02 14:00:00,1.89, 
1001602,2024-07-02 15:00:00,2.09, 
1001602,2024-07-02 16:00:00,2.27, 
1001602,2024-07-02 17:00:00,2.38, 
1001602,2024-07-02 18:00:00,2.39, 
1001602,2024-07-02 19:00:00,2.4, 
1001602,2024-07-02 20:00:00,2.48, 
1001602,2024-07-02 21:00:00,2.49, 
1001602,2024-07-02 22:00:00,2.43, 
1001602,2024-07-02 23:00:00,2.37, 
1001602,2024-07-03 00:00:00,2.31, 
1001602,2024-07-03 01:00:00,2.26, 
1001602,2024-07-03 02:00:00,2.23, 
1001602,2024-07-03 03:00:00,2.2, 
1001602,2024-07-03 04:00:00,2.18, 
1001602,2024-07-03 05:00:00,2.17, 
1001602,2024-07-03 06:00:00,2.17, 
1001602,2024-07-03 07:00:00,2.17, 
1001602,2024-07-03 08:00:00,2.16, 
1001602,2024-07-03 09:00:00,2.15, 
1001602,2024-07-03 10:00:00,2.15, 
1001602,2024-07-03 11:00:00,2.14, 
1001602,2024-07-03 12:00:00,2.13, 
1001602,2024-07-03 13:00:00,2.12, 
1001602,2024-07-03 14:00:00,2.11, 
1001602,2024-07-03 15:00:00,2.1, 
1001602,2024-07-03 16:00:00,2.09, 
1001602,2024-07-03 17:00:00,2.08, 
1001602,2024-07-03 18:00:00,2.07, 
1001602,2024-07-03 19:00:00,2.06, 
1001602,2024-07-03 20:00:00,2.05, 
1001602,2024-07-03 21:00:00,2.05, 
1001602,2024-07-03 22:00:00,2.04, 
1001602,2024-07-03 23:00:00,2.03, 
1001602,2024-07-04 00:00:00,2.02, 
1001602,2024-07-04 01:00:00,2.01, 
1001602,2024-07-04 02:00:00,2.01, 
1001602,2024-07-04 03:00:00,2.0, 
1001602,2024-07-04 04:00:00,1.99, 
1001602,2024-07-04 05:00:00,1.99, 
1001602,2024-07-04 06:00:00,1.98, 
1001602,2024-07-04 07:00:00,1.98, 
